data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Chất lượng sản phẩm: Đúng mô tả đã mua 1 lần. Lần nài mua cái thứ 2 hàng hình thức 97%. Cửa hàng quy tín anh em nên mua,,,,,,,,,,Positive,
"Phiên bản: Mỹ 2 sim 128gb 98% điện thoại trầy xước nhiều. Phần loa bị móp nhẹ. Pin thì tụt khá nhanh. Màn hình thì bị bóng mờ phần dưới và cạnh camera. ( Đã test chức năng vẫn bình thường) mua ở shóp này 98% mà còn xấu hơn các cửa hàng khác, 97% còn đẹp và tốt hơn 98% của cửa hàng",Negative,,,Negative,Negative,,,,,,
"Nhóm màu: White 
Dung lượng lưu trữ: 256gb dịch vụ khách hàng xuất sắc, màn hình lớn với hiển thị sống động,",,,,Positive,,,,Positive,,,
"Camera chụp kém, ảnh bị tối. Quảng cáo pin sai sự thật. Hiệu năng yếu. Pin hao nhanh, sạc lâu. Máy lag và dễ nóng. Đóng gói mỏng manh, hộp bị rách. Ship chậm hơn 4 ngày",Negative,Negative,Negative,,,Negative,,,Negative,,
"Ngày nào cũng 2 phiên đốt gần 10 củ tiền ads. Phải chi mà có cái xưởng nào ở Quy Nhơn, có hàng sẵn em live phủ phê thì ngày đốt 20-30 củ là bình thường. Mỗi tội hàng hoá nhập về nhọc nhằn quá, chưa quen với các mã quần áo. Em mà máu kiếm tiền trở lại là tàn canh gió lạnh với em 😆😆😆😆",,,,,,,,,,,Neutral
Pin sử dụng công nghệ sạc nhanh 20w,Neutral,,,,,,,,,,
Xem video tiktok còn lác nữa mà. Chậm thật sự. Máy sử dụng để đề phòng nên không hi vọng nhiều,,,Negative,,,,,,,,
Ngoại hình tốt. Camera có 1 vết trầy nhưng không sao ổn trong tầm giá.,,,,,Positive,,Positive,,,,
Máy chậm. Không thể chấp nhận. Pin sạc lâu. Hiệu năng rất chậm. Pin sạc đầy lâu. Đóng hàng sơ sài quá mức. Ship cả tuần,Negative,,Negative,,,Negative,,,Negative,,
Nói chung tầm giá tiền cũng thấy OK. Hợp lý Mình chỉ mong cửa hàng đêm nhiều sản phẩm đời cao hơn về Việt Nam. Và giá nên để hợp lý hơn để người dân Việt họ tiếp cận nhiều hơn nữa.,,,,,,,Positive,,,,
"Kém bền không như quảng cáo camera không chụp được ban đêm,",,Negative,,,,,,,,,
"Nhóm màu: Màu xanh đậm khả năng lưu trữ: 128gb hàng tốt nghen mọi người. Tưởng 6gb ram hơi bóp nhưng vẫn đa nhiệm ngon lành. 8tr hơn cho 1 máy chính hãng, brand tốt thì cũng xứng đáng từng đồng. Cảm ơn cửa hàng nhé.",,,,,,,Positive,,,,
"Thời lượng pin ở mức trung bình, đáp ứng nhu cầu sử dụng trong ngày. Màn hình có độ sáng vừa phải, đủ nhìn trong nhà.",Neutral,,,Neutral,,,,,,,
"Đóng gói cẩn thận, nhưng củ sạc dởm sạc mãi không vào, máy không nên mua về chơi game bị đơ kinh lắm mua về nghe nhạc lướt db, tt thì tốt",Negative,,Negative,,,Positive,,,,,
"Hiệu năng chậm đa nhiệm, camera trước nhòe nhoẹt. Dịch vụ khách hàng không gọi lại, pin hết 2 giờ 45 phút lướt mạng.",Negative,Negative,Negative,,,,,Negative,,,
"Cửa hàng uy tín, đúng hàng đã đặt điện thoại đẹp, giá hợp lý",,,Positive,,Positive,,Positive,,,,
"Chất lượng sản phẩm: Tốt
Đóng gói rất chắc chắn, được bọc nhiều lớp chống sốc nên rất yên tâm luôn. Lần đầu mua hàng giá trị cao trên shopee nên hơi rén.",,,,,,Positive,,,,,
Camera zoom rung lắc mất nét. Hiệu năng nóng máy sau 30 phút dùng. Đóng gói thiếu lớp bảo vệ màn hình trầy.,,Negative,Negative,,,Negative,,,,,
"Điênn thoại xài rất ok. Nhiều tính năng thông minh nói chung là hài long, mình săn được mức giá 10tr800 hihi",,,,,,,Positive,,,,
Điện thoại phù hợp người lớn tuổi. Sử dụng tốt. Màu sắc đẹp. Màn hình to rộng chụp đẹp. Giá hợp lý,,,,Positive,Positive,,Positive,,,,
"Cửa hàng giao hàng trong khoảng thời gian đã hẹn, hộp sản phẩm không bị móp méo khi nhận.",,,,,,Neutral,,Neutral,Neutral,,
"Máy tân trang cũ pin yếu màn linh kiện đơ máy oppo a9x nội địa trung, thông số ảo sản xuất năm 2019 quảng cáo mới chưa sử dụng",Negative,,,Negative,,,,,,,
"Máy giá rẻ mà chất lượng xịn sò lắm nha, ngoại hình không khác máy mới, chạy mượt và ổn định lắm luôn",,,Positive,,Positive,,Positive,,,,
Mua kèm sạc về sạc thì bị như vậy,,,,,,,,,,Negative,
Cửa hàng gửi hàng nhanh gói hàng cẩn thận chưa sử dụng nên chưa biết chất lượng như thế nào sử dụng tốt sẽ ủng hộ,,,,,,Positive,,,Positive,,
"Điện thoại có phần mềm độc hại, tí thì mất toi file",,,,,,,,,,Negative,
"Điện thoại cấu hình mạnh, màn hình rõ nét, pin bền, dùng mượt cho công việc.",Positive,,Positive,Positive,,,,,,,
"Hàng tốt, uy tín chính hãng, săn sale được giá tốt, giao nhanh nên rất hài lòng.",,,,,,,Positive,,Positive,,
Máy sử dụng rất tốt chất lượng tốt sẽ tiếp tục mua nhiều lần sau nữa để cho đồng nghiệp của tôi cảm ơn cửa hàng đã bán giá hợp lý,,,,,,,Positive,,,,
"Đóng gói quá sơ sài nha, không có chống sốc, tệ quá, giao hàng mất 3 ngày,",,,,,,Negative,,,Negative,,
"Dễ vỡ khác xa màn hình tối, âm thanh nhỏ đóng gói sơ sài khiến máy bị móp góc khi ship tới. Liên hệ cửa hàng thì chỉ đổ lỗi cho shipper",,,,Negative,,Negative,,Negative,,Negative,
"Chất lượng sản phẩm: Chưa biết 
Đúng với mô tả: Đúng 
Tính năng nổi bật: Xiaomi đẹp, quan trọng là giá tiền hợp lý, phù hợp cho học sinh sinh viên sử dụng. Hy vọng là bền cho mấy năm học đại học. Cửa hàng đóng gói cẩn thận và ship hàng rất nhanh trong ngày.",,,,,,Positive,Positive,,Positive,,
"Chất lượng sản phẩm: Tệ
, sản phẩm không tốt anh em đừng mua",,,,,,,,,,Negative,
"Nhóm màu: Đen dung lượng lưu trữ rộng rãi 128gb, chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",,Positive,,,,,,,,,
"Giao hàng đủ số lượng, đóng gói cẩn thận. Chất lượng thì chưa được kiểm chứng, giao hàng nhanh chóng.",,,,,,Positive,,,Positive,,
"Variation3: Mỹ 2 sim 99% 128gb cám ơn cửa hàng đã nhiệt tình tư vấn và ship cho máy màu hồng đờn ông rất đẹp. Máy 99% cửa hàng cam kết không trầy xước nhưng vẫn xước gần cụm camera và nắp lưng kha khá, máy vẫn còn silk thân máy, chân sạc còn mới. Phụ kiện có sạc cáp lởm. Test thử pin tốt, không nóng máy, mọi thứ ổn. Sử dụng app bank ổn chứ không giống máy hàn trước mình mua bị root. Trước có mua tablet của cửa hàng cũng phân loại 99% mà hông máy bị gai đường keo và xước mặt kính + lưng nhiều nên hông vui lắm nhưng sử dụng thời gian thấy máy hoạt động mượt mà theo năm tháng nên bỏ qua hết. Tầm giá tiền này máy sử dụng mượt với pin trâu là được. Dựng hay không cũng được sử dụng cũng được 2-3 năm là ổn rồi. :))) cửa hàng nhiệt tình. Đóng gói và quay video cẩn thận. Mọi thứ cảm quan tốt tạm cho cửa hàng 5 sao. Sử dụng time nữa nếu vẫn thấy tốt sẽ ủng hộ thêm. Cám ơn cửa hàng.",Positive,Negative,Positive,,Neutral,Positive,Positive,Positive,,,
Thời gian chuẩn bị hàng quá chậm chễ so với mặt bằng chung các cửa hàng khác,,,,,,Negative,,,,,
Variation3: Bạc variation1: Nguyên seal chất trong tầm giá,,,,,,Positive,Positive,,,,
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Đẹp điện thoại đẹp lắm chơi game mượn",,,Positive,,,,,,,,
Màu máy: Màu xanh sản phẩm: Samsung j7 pro 3/32g lần đầu mua máy trên mạng xã hội nhận về máy cũng rất là tốt lazada bán rất là uy tín cửa hàng giao đúng mãi đúng mẫu của mình đạt máy còn rất là mới sử dụng full mọi chức năng giá tiền thì phù hợp mình không có nhiều tiền nên cũng mua đỡ một cái về sử dụng nhưng cũng rất là tốt nha được vậy thì mình sẽ ủng hộ thêm cửa hàng 1 2 cái nữa cảm ơn cửa hàng nha tặng cửa hàng 5 sao,,,,,,,Positive,,Positive,,
"Pin hao khi chơi game, máy nóng nhanh. Camera màu lệch, hỗ trợ khách hàng bot máy móc.",Negative,Negative,,,,,,Negative,,,
"Nhóm màu: Ngọc khả năng lưu trữ: 128gb máy đẹp nguyên áp, hàng sprint mỹ, các chức năng hoạt động tốt không vấn đề gì.",,,,,,,,,,Positive,
Chưa sử dụng lâu không đánh giá,,,,,,,,,,Neutral,
Máy chính hãng. Mình mua của cửa hàng 3 máy rồi đều tốt hết. Đóng gói rất cẩn thận. Hỗ trợ khách hàng tốt.👍,,,,,,Positive,,Positive,,,
"Máy khởi động lần đầu không có trở ngại, về pin thì sẽ cần vài ngày để đánh giá.",Neutral,,,,,,,,,,
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb sản phẩm chính hãng, giao hàng nhanh, đóng gói cẩn thận, sẽ ủng hộ",,,,,,Positive,,,Positive,,
Sản phẩm tốt. Máy mới pin tốt. Chip g99 chưa tốt lắm so với kỳ vọng thay làm máy chính,Positive,,,,,,,,,,
Màn hình có độ phân giải đúng với thông số kỹ thuật mà hãng đã cung cấp.,,,,Neutral,,,,,,,
"Cửa hàng giao hàng đúng thời gian cam kết, chất lượng sản phẩm chưa mở hộp nên chưa đánh giá được. Nếu tốt nhận xét bổ sung sau.",,,,,,,,,Neutral,Neutral,
"Hàng khá ngon, săn sale được 5tr4 ổn trong tầm giá, máy đẹp",,,,,Positive,,Positive,,,,
"Tình trạng: 99% vỏ mới 
Nhóm màu: Vàng hàng tốt",,,,,,,,,,Positive,
Tệ😡😡😡🥵🥵🤬🤬🤬,,,,,,,,,,Negative,
Mình chưa sử dụng nên chưa đưa ra được nhận xét được,,,,,,,,,,Neutral,
"Nhóm màu: Xanh băng dung lượng: 4gb/64gb tuyệt vời cho sử dụng hàng ngày, màn hình hd+ 6.7 inch, sạc nhanh 25w,",,,,,,,,,,Positive,
"Riết chắc tui hết tiền với cái cửa hàng này luôn quá, bán đồ gì mà món nào cũng rẻ, cũng chất lượng hết,lãnh lương là tui qua cửa hàng shopping liền 🤣 10 điểm không có nhưng nha cửa hàng ơi",,,,,,,Positive,,,,
Hiệu năng của máy cần thêm thời gian trải nghiệm mới có thể đánh giá chính xác được.,,,Neutral,,,,,,,,
Dịch vụ khách hàng của cửa hàng phản hồi các thắc mắc ở mức cơ bản.,,,,,,,,Neutral,,,
Sản phẩm new seal. Cửa hàng giao nhanh. Chính sách ok,,,,,,Positive,,,Positive,,
"Chất lượng sản phẩm: Lỗi cảm ứng 
Đúng với mô tả: Không 
Tính năng nổi bật: Gọi không nghe rõ cuộc gọi bị mất tiếng, đóng gói thiếu cáp sạc, cửa hàng đổ lỗi cho nhà sản xuất",,,,Negative,,Negative,,Negative,,,
"Màu sắc: Màu ngẫu nhiên sản phẩm: Tốt đặt hàng ở cửa hàng này được nhận hàng nhanh nha mọi người máy móc đẹp kẻng, đúng như quảng cáo của cửa hàng các tác vụ ổn định + mượt mà. Rất hài lòng với cửa hàng này.. Cho 5 sao ngay và luôn 😁 nhất định sẽ đặt máy bên cửa hàng khi có nhu cầu.",,,Positive,,,,,,Positive,,
Ổn vs tầm giá đó Giao cũng nhanh lắm Có thể mua,,,,,,,Positive,,Positive,,
"Nhóm màu: Màu xanh cửa hàng làm ăn như trẻ con, mua 2 lần thì lần 1 gửi sạc hỏng. Lần 2 thì không biết tại máy hay pin mà sạc 4 5 sạc không vào.",Negative,,,,,,,,,,
Điện thoại sử dụng tốt,,,,,,,,,,Positive,
Sản phẩm giá rẻ mình đã mua nhiều lần chất lượng tốt sẽ ủng hộ thêm,,,,,,,Positive,,,,
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Tốt 
Tính năng nổi bật: Tốt
Nhận hàng đúng như mô tả của cửa hàng, mọi thứ đều tốt hài lòng, sẽ ủng hộ cửa hàng tiếp khi cần và giới thiệu nhiều ngườitin sử dụng vì cửa hàng uy tín",,,,,,,,,,Positive,
"Chất lượng sản phẩm: Máy đủ phụ kiện 
Tính năng nổi bật: Cấu hình tốt 
Đúng với mô tả: Không có xiu, không có xiu, hàng trong tủ, bảo hành của fpt chắc ổn,",,,,,,,,,,Positive,
"Nhóm màu: Xanh ship giao hàng không cẩn thận mà lỡ bóc rồi mà không quay nên đành nhận, chán ghê cơ, trải nghiệm không vui",,,,,,,,,Negative,,
"Chất liệu: Điện thoại nhìn còn mới, âm thanh nghe rõ, pin sử dụng lâu hết. Nói chung là tốt.",Positive,,,,,,,,,Positive,
Màu máy: Màu đen sản phẩm: Samsung a70 6/128gb tốt lắm nha cửa hàng mình đã mua lần thứ hai máy tốt chuẩn giá rẻ phù hợp với tiêu chí sử dụng của mình nói chung là mọi chức năng đều rất là ổn đúng máy chính hãng sử dụng cũng tốt lắm cửa hàng tư vấn nhiệt tình cảm ơn cửa hàng nhiều nhé tốt thì mình sẽ ủng hộ cửa hàng dài dài tặng cửa hàng 5 sao nha,,,,,,,Positive,Positive,,,
Sim 2 không nhận sóng. Hỗ trợ 2 sim chỉ trên giấy. E-sim không kích hoạt được phải mang máy đi bảo hành,,,,,,,,,,Negative,
