sentence,aspect,sentiment
"Nhóm màu: đen tuyền dung lượng: 4gb/64gb nhiều tùy chọn màu sắc phong cách, camera chính 50mp, ram 4gb + bộ nhớ 128gb, cảm biến vân tay,",Design,positive
"Camera ban đêm tối tăm, pin yếu sử dụng định vị. Giao hàng chậm 10 ngày, đóng gói lỏng gây xước bề mặt.",Packaging,negative
"Mọi người ơi, lịch cập nhật phần mềm cho máy này thường diễn ra khi nào vậy?",General,neutral
"Chất lượng sản phẩm: máy khá đẹp, mới, rất ưng ý,, cảm ơn cửa hàng..",Design,positive
"Nhận hàng thì cũng nhận được rồi. Điện thoại bị xước lấy về không tải được ứng dụng nào luôn mìk đã thử tải youtube từ trưa hôm qua tới giờ vẫn không được. Quá thất vọng mọi người xem cân nhắc chứ mìk thấy ở ngoài cũng ổn ổn mà lại không làm được cái gì biết là tiền nào của nấy, nhưng điện thoại mà không sài được bán làm gì",Price,negative
Hàng rất tuyệt vời nha không có gì để chê đáng trên cả 5 sao,General,positive
"Màu máy: màu đen sản phẩm: samsung a50s 4/64gb cửa hàng bán hàng uy tín riết chắc tôi hết tiền với cái cửa hàng này luôn quá bán đồ gì đâu mà món nào cũng rẻ cũng chất lượng hết lãnh lương là tôi qua mua liền, đặt online liền hai cái 10 điểm cho cửa hàng nha nhận hàng rất là ưng ý luôn chất lượng tuyệt vời mà giá cả thì phải chăng nữa nhân viên dễ thương tư vấn nhiệt tình nhé màn hình tuyệt đẹp bộ xử lý nhanh và hiệu quả giá trị tuyệt vời cho số tiền bỏ ra tặng cửa hàng đủ năm sao",Price,positive
"Nhóm màu: ngọc khả năng lưu trữ: 128gb máy đẹp nguyên áp, hàng sprint mỹ, các chức năng hoạt động tốt không vấn đề gì.",General,positive
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: sản phẩm đúng với mô tả, cửa hàng đóng gói hàng kỹ càng, vận chuyển nhanh, hộp không bị móp gì, lần đầu mua đơn giá trị cao nên cũng hơi lo, nhưng sau khi nhận hàng thấy rất ưng ý. 5 Sao cho cửa hàng và sẽ ủng hộ cửa hàng trong thời gian tới ạ.",Packaging,positive
"Backlight bleed màn đều là quảng cáo sai xem phim bị lóa, khó chịu,",Display,negative
"Ship chậm hơn 1 tuần, thông báo không rõ ràng. Máy rất nóng, cầm không thoải mái. Camera trước chụp tối không nhìn rõ mặt.",Camera,negative
Màu: đen dòng máy: iphone x/xs/xsmax không tốt,General,negative
Nói chung giá tin n thì tốt chỉ để làm máy phụ bán hàng tốt có tặng kèm dây sạc sim2g sip nhanh gói kỹ không bể,Packaging,positive
"Máy lag. Không đúng quảng cáo. Pin yếu. Hiệu năng không ổn định, hay treo. Pin tuột không phanh. Đóng hàng không có tem bảo hành. Ship chậm. Chăm sóc khách hàng trả lời hời hợt",Performance,negative
"Đúng với mô tả: máy loạn cảm ứng 
Tính năng nổi bật: bình thường 
Chất lượng sản phẩm: quá tệ",General,negative
"Nhóm màu: đen tuổi thọ pin lâu dài, dung lượng lưu trữ rộng rãi 128gb,",Battery,positive
"mở ứng dụng muộn, đóng gói đẩy khung lệch. camera zoom kỹ thuật nhiễu hạt, pin hao ghép mic.",General,negative
"Nhóm màu: vàng 
Dung lượng lưu trữ: 16gb máy tốt cửa hàng trả lời nhanh. Tư vấn nhiệt tình ạ. Sử dụng làm máy phụ tốt hoặc mua máy cho bố mẹ sử dụng tốt ạ. Cảm ơn cửa hàng. Chúc cửa hàng buôn may bán đắt ạ ^^",Shop_Service,positive
"Hàng giao vào trg sài gòn khoảng 5-6 ngày. Đang sử dụng hiện tại thì thấy pin không trâu lắm đâu. Mẫu mã đẹp, hiện tại chưa có vấn đề gì. Săn salr được giá cũng tốt xuất hoá đơn đầy đủ",Battery,negative
"Tính năng nổi bật: không nói gì nữa 
Đúng với mô tả: không đúng 
Chất lượng sản phẩm: im lặng là biết rồi quà tặng kèm theo máy mất tích 15 ngày rồi vẫn chưa thấy đau",Packaging,negative
"Hiệu năng giật cục, chơi game bị drop fps liên tục. Chăm sóc khách hàng hứa hẹn đổi trả nhưng kéo dài hơn 1 tháng. Đóng gói hộp bên ngoài rách 1 góc.",Packaging,negative
"Nhóm màu: đen 
Dung lượng lưu trữ: 6gb+128gb dung lượng lưu trữ lớn, tùy chọn thanh toán dễ dàng và tiện lợi,",General,positive
Cho mình hỏi làm thế nào để kích hoạt bảo hành điện tử cho sản phẩm này vậy?,Shop_Service,neutral
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb mình nhờ cửa hàng giao nhanh, cửa hàng nói không kịp nhưng cuối cùng lại đến sớm như mong đợi, đóng gói cẩn thận, chắc chắn",Shipping,positive
"Đúng với mô tả: dug 
Chất lượng sản phẩm: mượt 
Tính năng nổi bật: moi chức năng mình mua cái thứ 2 của cửa hàng , cửa hàng uy tín ,trả lời tn nhanh",Shop_Service,positive
"Đúng với mô tả: tốt 
Tính năng nổi bật: tốt 
Chất lượng sản phẩm: bị xước cạnh mắc xương 🥲 ở ngoài 2 dấu cấn khá rõ chắc lúc vận chuyển quăng dữ quá dù có chống sóc cũng không nhằm nhò. Nhắn tin thấy cửa hàng trả lời chậm quá vẫn chưa có phản hồi gì",Shop_Service,negative
"Nhóm màu: blue 
Dung lượng lưu trữ: 128gb bóng bẩy và thanh lịch, tuổi thọ pin lâu dài, giá trị tuyệt vời cho số tiền bỏ ra, thiết kế tuyệt đẹp,",Battery,positive
giao hàng nhanh nguyên sale. cửa hàng bán rẻ hơn các cửa hàng trên shopee cho cửa hàng 5*.sau này có mua máy tặng người thân sẽ ủng hộ cửa hàng lần nữa. rất đáng đồng tiền khi mua hàng của cửa hàng.,Price,positive
Điện sử dụng mấy ngày sập nguồn mở không lên 1.2 gì đó mới lên nguồn mông cửa hàng khắc phụ điều này !,General,negative
"variation3: bạc variation1: nguyên seal điện thoại ổn, so với mình thì màn hình chưa mượt lắm thôi. nói chung là đáng tiền ạ, mình đổi điện thoại vì máy mình hết dung lượng. camera cũng tạm ổn.",Price,positive
"Nhóm màu: vàng 
Dung lượng lưu trữ: 16gb tặng cửa hàng 5 sao vì điện thoại đẹp hơn mong đợi, chúc cửa hàng vv mua may bán đắt",Design,positive
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng 
Tính năng nổi bật: mượt đã nhận được hàng,cửa hàng đóng gói cẩn thận. Đã mua điện thoại bên cửa hàng rất nhiều lần, cửa hàng uy tín. Có nhu cầu sẽ mua ủng hộ thêm",Performance,positive
"Nhóm màu: đen 
Dung lượng lưu trữ: 6gb+128gb tuổi thọ pin lâu dài, tùy chọn màu sắc rực rỡ, máy ảnh chất lượng cao cho những bức ảnh tuyệt đẹp, giao hàng nhanh chóng và an toàn, tùy chọn thanh toán dễ dàng và tiện lợi, dung lượng lưu trữ lớn,",Shipping,positive
Tiền nào của đó thôi máy hơi lag với hỏng cam,Price,negative
"Giao hàng nhanh, đóng gói kỹ, sẽ ủng hộ cửa hàng thường xuyên ...",Packaging,positive
Chất lượng sản phẩm lỗi phần mềm liên tục. Đúng với mô tả mô tả hơi hoa mỹ thực tế không bằng. Tính năng nổi bật pin và hiệu năng đều thất vọng. Review máy hay crash app cập nhật firmware vẫn chưa tốt. Pin không trụ nổi 1 ngày với sử dụng bình thường. Box đến với seal rách có vẻ bị mở trước. Support hời hợt chỉ hướng dẫn reset mà không khắc phục,Shop_Service,negative
"Camera chụp đêm nhiễu hạt nặng, pin hao khi sử dụng định vị. Giao hàng chậm 9 ngày, đóng gói yếu làm móp cạnh.",Shipping,negative
Hiệu năng chậm khi sử dụng editor shipping giao chậm không bồi thường chăm sóc khách hàng không lắng nghe,Performance,negative
Giống mô tả nhưng sạc pin chậm đầy sạc 12 tiếng vẫn không đầy pin,Battery,negative
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb thiết kế tuyệt đẹp, chất lượng máy ảnh ấn tượng, bóng bẩy và thanh lịch, khả năng sạc nhanh,",Camera,positive
"Camera chụp ban đêm hạt nhiễu khủng khiếp, pin yếu khi sử dụng bản đồ. Giao hàng trễ nãi 7 ngày, đóng gói lỏng lẻo gây trầy xước thân máy.",Packaging,negative
"Tính năng nổi bật: nfc, sạc nhanh 33w, camera 108mp 
Đúng với mô tả: đúng với mô tả 
Chất lượng sản phẩm: tốt
Vừa nhận được hàng, cảm quan thì thấy tốt, máy đẹp, mua cho mẹ sử dụng nên mình cũng không vọc nhiều, đặt 15, 17 giao tới, săn sale thì còn 3tr5.",Design,positive
"Tính năng nổi bật: có 
Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Đóng gói bên cửa hàng kĩ càng. Hàng về hộp vẫn còn nguyên vẹn không bị cấn móp. 5*",Packaging,positive
máy rất đẹp pin lại trâu giá vừa rẻ mình rất thích lần sau mình lại mua tiếp cho bọn trẻ cảm ơn cửa hàng bán hàng có tâm cửa hàng cũng dễ tính hỏi trả lời rất nhanh không chần chừ như 1 số cửa hàng máy này rất đáng mua nha cả nhà,Price,positive
Đã nhận được hàng. Hàng đúng mô tả. Đóng gói ổn. Chất lượng thì chờ thời gian.,Packaging,positive
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng 
Tính năng nổi bật: nghe gọi, nhắn tin ￼điện thoại nokia 6310 (2024) hỗ trợ sóng 4g màn hình đẹp loa to rõ ràng điện thoại mẫu mã, kiểu dáng đẹp màu sắc nét nghe gọi to ,rõ ràng, nhắn tin đóng gói cẩn thận giao hàng nhanh cũng đập hộp ngư hàng real luôn á hài lòng",Design,positive
"kém bị lừa pin chai sau 1 tháng, sạc rất lâu,",Battery,negative
Mình cần tìm hiểu thêm về các tính năng của phần mềm. Camera thì chưa chụp thử.,General,neutral
đánh giá sau 1 tháng sử dụng. pin sử dụng được lâu. máy đơ 2 lần không sử dụng được phải khởi động máy lại mới sử dụng được.,Battery,positive
Chất lượng camera không hề tốt.,Camera,negative
"Màn hình hiển thị nội dung ở mức khá. Vỏ máy làm bằng chất liệu phổ thông, cảm giác cầm nắm bình thường.",Design,neutral
"Thiết kế không có gì nổi bật,  mức giá trung bình.",Price,neutral
Điện thoại đẹp. Tốt. Giao hàng cẩn thận. Săn được giá rẻ. Mọi người nên mua nha.,Price,positive
"Phân loại sản phẩm: điện thoại a31 sản phẩm chất lượng rất ổn, mẫu mã đẹp dễ cầm nắm bộ nhớ lớn thoải sức lưu trữ hình ảnh, pin trâu ram máy lớn trải nghiệm game không lo giật lag, giá cả phải chăng hợp túi tiền người lao động. Cửa hàng tư vấn rất tốt có nhiều sản phẩm giá bình dân . Đánh giá 5 sao",Price,positive
Lắp ráp lỏng lẻo không đúng cấu hình camera trước mờ. Ship hàng mất 3 tuần mà không báo trước,Design,negative
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb dung lượng lưu trữ cao, chất lượng camera ấn tượng, màn hình sắc nét,",Display,positive
"Nhóm màu: đen thiết kế mỏng nhẹ và sang trọng, dung lượng lưu trữ rộng rãi 128gb, hai khe cắm sim cho tiện lợi, thời lượng pin lâu dài, chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",Design,positive
Hiệu năng đủ dùng cho các tác vụ hàng ngày; màn hình hiển thị đáp ứng yêu cầu cơ bản.,Performance,neutral
"Color: đen-l vừa vặn thoải mái và rộng rãi,",Others,neutral
"Chất lượng sản phẩm: máy quá yếu 
Tính năng nổi bật: laggg 
Đúng với mô tả: hình ảnh chỉ mang tính chất minh họa khuyên mọi người đừng nên mua cửa hàng này",General,negative
máy khá là tốt so với tầm giá. dành cho nghe gọi lướt chút đỉnh của người già và trẻ nhỏ thì tuyệt vời mong là sài được lâu. cảm ơn cửa hàng,Price,positive
"Nhóm màu: xanh điện thoại tốt sử dụng khá mượt, pin trâu, rất hài lòng về sản phẩm lại giao hàng nhanh nữa",Shipping,positive
"kém chất lượng sai kém chăm sóc kh vô trách nhiệm. đóng gói tệ.,",Packaging,negative
Chụp thiếu sáng tệ. Mô tả camera siêu nét là giả. Hiệu năng yếu. Ảnh chụp tối noise nặng. Máy chậm. Pin kém. Đóng gói ẩu tả,Packaging,negative
"bắt wifi hơi kém, lưng máy cảm giác hơi khó nói nhưng khác tốt so với giá tiền (nên mua)",Price,positive
"Màu sắc: bạc 
Phân loại: nguyên seal nguyên cây mới trăm phần trăm",Packaging,positive
"variation3: đen xanh vàng 
Dung lượng lưu trữ: 32gb 
Phân loại sản phẩm: 50cai. máy không còn zin, sử dụng tạm được.cửa hàng nhiệt tình. đóng gói cẩn thận.",Packaging,positive
"Hiệu năng chỉ ở mức dưới trung bình, không đáng giá. Ảnh chụp bị nhòe và out nét. Chăm sóc khách hàng hứa hẹn gọi lại xử lí nhưng mất tích.",Camera,negative
"Thiết kế ổn , màn hình lớn, màu tươi. Pin trâu.",Design,positive
"Mình mua 21tr790 sau khi áp mã giảm và thanh toán bằng thẻ tín dụng nên được hoàn thêm 540k, tính ra chỉ mất có 21tr250k cho chiếc ss ultra s25 (cũng chả bít có hời không nhưng thấy rẻ hơn so với ra mua store) hãng trả lời tin nhắn rất nhanh, có điều chuẩn bị hàng hơi lâu, mình nhận máy thì đã active bảo hành được 2 ngày, khá sát so với bảo hành hãng đóng hàng cẩn thận, trải nghiệm mua đthoai online trộm vía suôn sẻ ^^",Price,positive
"Nhóm màu: màu trắng sản phẩm: dây cáp điện thoại tốt chất lượng tuyệt vời, nên mua nha cửa hàng tư vấn nhiệt tình nha mình hài lòng về sản phẩm của cửa hàng 10 điểmmm",Shop_Service,positive
"cửa hàng ship từ hcm ra hn khá nhanh, bọc chống sốc cẩn thận. nhận hàng mở điện thoại ra hình thức bên ngoài tốt, sẵn cường lực với ốp new luôn. tuy nhiên mình không hài lòng vì thực tế là 4/128 mà thông tin điện thoại ghi 8/256. từ màn hình dính keo, chân sạc lỏng lẻo có dấu hiệu thay rồi, khe sim có vẻ cũng chả zin vì nhét không vào hết. camera thì có vẻ zin vì chụp tốt, máy khoá nâng cấp phần mềm ở androidos 8.1, coloros 4.0 nên tải app đời mới hay crash. cửa hàng nói là bản quốc tế nhưng mình vào cài đặt khá nhiều chỗ tiếng trung, dòng f7 này không hỗ trợ sạc nhanh, mọi người nên bỏ thêm ít tiền mua f9 hoặc f11 tấm nền, chip ngon hơn và có sạc nhanh sẽ đáng đồng tiền, bát gạo hơn!!! 😁😁😁",Packaging,positive
Mầu: tím lilac bộ nhớ: 128gb-8gb chất lượng: tốt giao hàng nhanh đóng gói cẩn thận nguyên sealz không có ốp lưng và củ sạc chỉ có dây sạc nên đánh 4*,Shipping,positive
"Đúng với mô tả: đúng 
Tính năng nổi bật: sử dụng rất mượt mà thoải mái 
Chất lượng sản phẩm: rất tốt đây là con máy rất ngon trong phân khúc 5 triệu hàng chính hãng sử dụng rất mượt do có tần số quét 120hz và chơi game cũng mượt do có không gian quản lí trò chơi.nói chung thì máy rất ngon nha,cửa hàng uy tín và hỗi trợ nhiệt tình không có gì chê cả,thời gian giao hàng khá lâu nhưng là do mình ở tận tít trên miền bắc nên thế là điều hiển nhiên rồi.5 sao và luôn ủng hộ cửa hàng trong tương lai",General,positive
"Đúng với mô tả: sau 1 tuần sử dụng cảm nhận máy màn hình đẹp,game mượt ,pin trâu sạc rất nhanh nhưng phải sử dụng sạc khác",Performance,positive
"Pin tụt không phanh. Pin không đạt chuẩn. Pin hao nhanh, sạc lâu. Pin chỉ được 3-4 tiếng là hết sạch, sạc rất lâu đầy. Đóng hàng sơ sài, hộp méo mó",Packaging,negative
"Khả năng lưu trữ: 256gb 
Nhóm màu: nhiều màu máy đẹp sài ổn, cửa hàng tư vấn nhiệt tình",Shop_Service,positive
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb ⚡ 
Hiệu suất:tuổi thọ pin lâu dài., màu sắc tuyệt đẹp, khó lựa chọn!, độ phân giải hiển thị tuyệt vời, độ phân giải hiển thị tuyệt vời,",Battery,positive
Camera mờ đục không nét. Pin tụt nhanh chỉ lướt web 3 tiếng. Ship giao muộn 5 ngày không thông báo.,Camera,negative
"Quá trình giao hàng mất khoảng vài ngày, đúng như thông báo của shop. Đóng gói sản phẩm ở mức cơ bản.",Shop_Service,neutral
pin nóng khi sạc bằng sạc dự phòng. củ sạc rất nóng. pin bị nóng khi lướt web. sạc pin quá lâu. đóng hàng sơ sài,Packaging,negative
"Tính năng nổi bật: máy nát bét 
Chất lượng sản phẩm: quá tệ 
Đúng với mô tả: không đúng 1 tí nào cảm ứng đơ lag máy vỏ mới máy cũ jack 3.5 oxi hoá kích ram rom ảo pin cũ sử dụng lúc hết sạc chậm mà ghi 18w ... quá nhiều vấn đề cửa hàng cãi cùn nhắn tin không trả lời",Shop_Service,negative
"Máy mình màn hình ám vàng, đã tắt night shift và true tone mà vẫn bị , nhìn khá đau mắt",Display,negative
"Máy to. Nhưng chuông nhỏ , loa cũng nhỏ và nghe tiếng không trong , không ấm như nokia trung quốc ngày trước",General,negative
"Cửa hàng uy tín 👍 máy mượt, màn hình đẹp, loa to, liên quân bao mượt luôn, pin cũng ổn, không trâu cũng không quá hao tuy nhiên máy không có 1 số chức năng như chia màn hình, quay màn hình, ghi chú nói chung 1tr8 cho 1 sản phẩm như này là quá ổn luôn 🙆🙆👁️👄👁️👍 *hong hề khoe cái ốp handmade đâu nhaa*",Performance,positive
"Nhóm màu: ultramarine 
Dung lượng lưu trữ: 128gb giao hàng nhanh, đóng gói chắc chắn, niêm phong đầy đủ. hàng nguyên seal, chính hãng Việt Nam. kiểm tra imei chưa kích hoạt, đúng mẫu máy trên vỏ hộp. cửa hàng uy tín mọi người có thể chọn mua nếu không có thời gian đến các cửa hàng",Packaging,positive
Chăm sóc khách hàng chậm hiệu năng giật pin hao pin,Performance,negative
"Sử dụng kiểu làm máy phụ hoặc muốn chửa cháy thì tốt. Màn lô nhợt nhạt coi lâu dài rất đau mắt kinh khủng. Mọi thứ điều tốt ổn định. Trừ 1* giao sai màu, rất rất dặn kĩ rồi. Trả hàng thì rườm rà mắc mệt thôi lấy sử dụng đại hư dục...",Display,negative
"Nhóm 
Màu sắc: màu ngẫu nhiên sản phẩm: điện thoại tốt,sử dụng mượt, hợp túi tiền,đã mua của cửa hàng cái thứ 2 ,tất cả đều sử dụng tốt.có như cầu sẽ tiếp tục ủng hộ cửa hàng.",Performance,positive
đã nhận được hàng giao hàng nhanh đóng gói kỹ điện thoại khá to bữa giờ test máy thấy cũng tốt nhưng chưa sử dụng nhiều không biết có bền không giá hợp lý nói chung ổn trong tầm giá,Price,positive
Nhóm màu: màu đen siêu phẩm ngày xưa mình mơ ước. Khi em nó có giá 20 củ. Mình chỉ dám ra tgdd nhìn ngắm và sờ mó. Nhưng bây giờ mình đã có quyền sở hữu em nó rồi. Cảm ơn cửa hàng. Máy rất tốt. Chạy mượt.. Bị chồng ảnh chút nhưng chấp nhận được,Performance,positive
Hàng tệ không có gì muốn nói về sạc không lên nguồn .cửa hàng này lừa đảo quá đấy.,Battery,negative
check ra là helio p35 không phải là snapdragon 460,Performance,neutral
"Thiết kế của máy theo phong cách tối giản, không có điểm nhấn đặc biệt. Phần mềm đi kèm có các chức năng cơ bản.",Design,neutral
Điện thoại đẹp tốt so với tầm giá mượt mà với giá 1xxx mà được điện thoại vậy là quá ổn,Price,positive
variation3: mỹ 2 sim 99% 128gb mua máy 99% mà nhận được máy ngoại hình quá xấu. máy này chỉ đáng 95%. mới nhận máy nhưng không hài lòng về ngoại hình. còn để test thêm các chức năng bên trong,Design,negative
"trải nghiệm không tốt , chỉ sử dụng ổn ngày đầu mới mua , về ngoại hình không được 97-99% như mô tả , pin cũng khá ảo hơn so với thông số máy . sau 1 ngày sử dụng thì sập nguồn không lên nữa . vote sao thấp nhắn cho cửa hàng thì bị chặn phản hồi thì bị khiếu nại ngược . nói chung là tệ",Shop_Service,negative
"Hiệu năng đủ để chạy các ứng dụng nhẹ, nhưng việc chuyển đổi giữa các app đôi khi có độ trễ.",Performance,negative
"Loa bị rè khi âm lượng cao không có bảo hành 12 tháng như cam kết gps không chính xác, chỉ sai đường",Shop_Service,negative
