sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
Phân loại sản phẩm: camera đốm nhẹ tính năng: nhạy chất lượng: cũng cực ổn để làm máy phụ nha,Camera,negative,positive,negative → positive,1
"camera bị ám màu xanh. màu sắc sai lệch. màu ko thật. ảnh chụp ra bị ám màu xanh rất rõ, nhìn ko tự nhiên. hiệu năng ổn định",Camera,negative,positive,negative → positive,1
"ngoại hình: đẹp trên 85% 🔋 
Thời lượng pin:tương đối tốt, trong tầm giá, máy cũ, pin như vậy là tốt 📸 
Chất lượng camera: hơi mờ vì đã cũ ⚡ 
Hiệu suất:ổn định,sử dụng với tác vụ đơn gian giao hàng siêu nhanh",Camera,negative,positive,negative → positive,1
"Hiệu năng rất tốt, camera mức trung bình ổn.",Camera,neutral,positive,neutral → positive,1
"Tính năng nổi bật: nfc, sạc nhanh 33w, camera 108mp 
Đúng với mô tả: đúng với mô tả 
Chất lượng sản phẩm: tốt
Vừa nhận được hàng, cảm quan thì thấy tốt, máy đẹp, mua cho mẹ sử dụng nên mình cũng không vọc nhiều, đặt 15, 17 giao tới, săn sale thì còn 3tr5.",Camera,neutral,positive,neutral → positive,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: ổn 
Tính năng nổi bật: ổn, cam wide gần bằng 11t lấy hình note 14 pro 4g tạm vậy, con note 14 này săn sale ổn, giá 3tr5 cho combo 6/128, mua cho bố do bố không thích gu cam tròn lồi to đùng như thịnh hành bây giờ, phải chi có con ngang cỡ note 10 pro 4g 1 thời thì hay quá, mà giá lại nó đụng note 14 pro 4g rồi.",Camera,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: máy nguyên seal sài tốt 
Đúng với mô tả: đúng với mô tả thực tế 
Tính năng nổi bật: nfc, camera, vân tay đáng tiền để mua, giao hàng hơi chậm một tí.",Camera,positive,negative,positive → negative,1
"Giao hàng lâu quá, sản phẩm thì sử dụng hơn 10 ngày nay thấy khá ổn, pin lâu, chụp hình tạm ổn, màn hình hiển thị đôi khi mờ icon mờ chữ, chỉ tiếc không có 5g và nfc",Camera,positive,negative,positive → negative,1
"Viền màn khá đẹp, chơi game nhẹ tốt, chụp choẹt tốt nếu không có nhu cầu cao nhược điểm: loa rè mỗi khi mở video hoặc nghe nhạc, không hỗ trợ bàn phím chữ đ gõ chữ rất khó,rất ít tính năng trong phần cài đặt. Micro thu âm khi gọi loa trong không nghe được, ốp lưng quá lỏng.... Và còn rất nhiều không kể hết",Camera,positive,negative,positive → negative,1
pin hơi hẻo sử dụng được hơn 3h một tí màn hình bị ám một vạch nền xanh trắng mới thấy rõ. Camera chụp đẹp nên mua nha mọi người,Camera,positive,negative,positive → negative,1
"sài được thời gian thì, máy sài tốt ổn kể cả game, nhưng mà ngoại hình hơi xâú xước khá nhiều với cấn, nhưng máy hoạt động ổn, nói chung mất này bú kia nên kh quan tâm lắm , với kh ngờ chiếc gaming phone này cam nó nét với đẹp vãi=)) thế thôi",Camera,positive,negative,positive → negative,1
"🔋 
Thời lượng pin:khá ổn xem và tải 7h vẫn còn 30% , 📸 
Chất lượng camera: sắc nét đặc biệt cam trc. Mỗi tội loa ngoài không nghe được rè rè kinh luôn hôm kc lại mất công đi sửa , bâo tét kỹ kỹ chút thì chả tét 4,5 sao vậy.",Camera,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: vân tay dưới màn, cam tốt, loa xịn nhận xét chung là hài lòng. ngoại hình 8đ, chức năng 10đ. mình mua để đổi gió nên cũng không yêu cầu cao gì, nhưng mà nhìn qua ngoại hình thì biết là máy đã được tân trang lại rồi, cổng sạc khá tả, con điện thoại mình sử dụng 4 năm rồi mà cổng sạc cũng không tả tơi được như con này, cụm cam thì không xước xát gì nhưng viền quanh cam có vài vết sứt mẻ, nói chung là chủ cũ sử dụng hao vcd. máy nhận về chạy miui 12.5 không được full tiếng việt, mình có up rom lên miui 14 eu thì thấy đỡ hao pin hơn hẳn. à mà củ sạc cửa hàng gửi kèm sử dụng dây typec-typec mà dây sạc cửa hàng gửi lại là typea-typec nên sử dụng không được =)))",Camera,positive,neutral,positive → neutral,1
"Nhóm màu: đen 🔋 
Thời lượng pin:siêu trâu, thích quá 📸 
Chất lượng camera: cũng được nha. Mình mới sử dụng 10 ngày chưa biết độ bền. Nhưng giá mềm được khuyến mãi sâu, pin trâu là mừng hết lớn rồi. Cảm ơn",Camera,positive,neutral,positive → neutral,1
"Giao hàng đầy đủ, đúng loại nhưng không phải là hàng mới vì ống kính camera rất cũ và trầy xước rất nhiều, chứng tỏ máy cũ không đúng như quảng cáo nhưng vì máy rẻ hơn cửa hàng khác nên cũng tạm chấp nhận!",Design,negative,positive,negative → positive,1
Hình thức thì tốt. Rất tiếc sau khi test thì nó có vấn đề. Vân tay lúc được lúc không. Sạc pin cả đêm mới vào được tý điện.,Design,negative,positive,negative → positive,1
"Tính năng nổi bật: cấu hình mạnh , máy mượt , cam đẹp trong tầm giá. 
Đúng với mô tả: không đúng ram rom chỉ 6/128 thôi 
Chất lượng sản phẩm: ổn nhận xét sau 2 tuần sửa dụng máy ,máy đã thay vỏ nhưng mình vẫn chấp nhận được vì máy đã ra mắt khá lâu rồi h mà đào ra máy nguyên zin trong tầm giá rẻ như này thì không thể, đáng lẻ mình sẽ đánh giá 5 sao nhưng hàng dựng lại rất sơ sài nắp lưng không thấy 1 tý keo nào bị bung ra hết khá là buồn😞 mong cửa hàng nên kiểm tra cẩn thận và kĩ càng hơn khi giao hàng tới tay người sử dụng",Design,negative,positive,negative → positive,1
"Tính năng nổi bật: nhiều chức năng ai 
Đúng với mô tả: sản phẩm đúng với mô tả, ngoại hình đẹp 
Chất lượng sản phẩm: mới mua nhưng có vẻ cảm ứng không được nhạy lắm và bắt wifi hơi kém bị mất wifi liên tục",Design,negative,positive,negative → positive,1
Variation3: bạc variation1: không hộp (mới 100%) lần đầu tiên mua qua mạng hơi sợ xíu nhưng lúc bốc hàng máy mới không một vét xướt mua với giá 2 triệu 7 là quá ngon rồ sạc kèm theo là hiệu hoco sẽ ủng hộ cho lần tiếp theo,Design,negative,positive,negative → positive,1
máy xài cũng tốt mà pin sạc 3 tiếng không đầy được . thân máy bị hở,Design,negative,positive,negative → positive,1
Thiết kế của máy có cụm camera lồi lên so với mặt lưng.,Design,neutral,negative,neutral → negative,1
ngoại hình ổn áp nhưng pin thì hư. lấy hàng thì trả tiền liền mà trả hàng có nhận được tiền lại không hay mất cả 2 thì chưa biết nhưng chắc chắn 1 điều trả hàng lại và nhận được tiền là rất lâu vì vậy tôi phải tự đi thay pin mới,Design,neutral,positive,neutral → positive,1
"Đúng với mô tả: bình thường giao hàng nhanh, có vết hằn nhẹ trên thân máy, chấp nhận được. mong cửa hàng kiểm hàng kĩ hơn",Design,neutral,positive,neutral → positive,1
"🛡Độ bền:chưa sử qua chưa biết 💲giá cả:tuy rẻ, nhưng màu trắng bị biến vàng nhìn quá cũ như đồ cũ vậy cửa hàng nên kiểm tra lại màu sắc nhẹ",Design,neutral,positive,neutral → positive,1
"Màu sắc: tím nhạt bộ nhớ: ram 8g/128g màn hình đẹp không ám ố, khung viền có cấn móp, xước dăm, mặt lưng kính đẹp không trầy xước, pin còn tầm 82%, máy mất áp suất rồi.khay sim trùng imei với máy. Cùng chip 865 mà sử dụng thấy máy sony nóng, tản nhiệt không tốt bằng con samsung s20",Design,positive,negative,positive → negative,1
Máy đẹp nhưng hay bị đơ,Design,positive,negative,positive → negative,1
"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau chất liệu:hoàn thiện tốt. Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Design,positive,negative,positive → negative,1
Nhóm màu: màu đen một chiếc điện thoại nhỏ gọn dễ mang theo làm máy phụ thời lượng pin tạm ổn chất lượng đánh giá sau,Design,positive,neutral,positive → neutral,1
"hình ảnh và video mang tính chất nhận xu. máy đẹp, hàng chính hãng mã vna, cầm nhẹ tay, sử dụng 1 thời gian nữa thì mới rõ hiệu năng và pin thế nào. hiện tại thì 10 điểm",Design,positive,neutral,positive → neutral,1
"Chức năng đầy đủ, phụ kiện cửa hàng tặng bao sử dụng luôn, có điều màu đen ngoại hình trầy nhiều đeo ốp vào sẽ không thấy, có cảm giác màn hơi ám nhưng không sao, đáng trải nghiệm",Display,negative,neutral,negative → neutral,1
"Hàng đẹp, ổn. Check thông tin trên google chính xác. Tuy nhiên, máy hơi nóng khi sử dụng. Màn hình pixel không đẹp như samsung, nhưng máy chạy mượt với android thuần. Ai sử dụng samsung như mình nhiều thì qua pixel khá khó chịu với giao diện thuần và một số thứ trên trang chủ không chỉnh được. Tuy nhiên, đổi lại là máy mượt, giá cũ hợp lý và google support lâu dài.",Display,negative,positive,negative → positive,1
"Máy và trải nghiệm khá tốt nhưng máy đã thay màn nên cảm ứng khá chậm với màn bị bầm nhẹ, chiến game vẫn khá ngon với cửa hàng hỗ trợ nhiệt tình nên cho 4sao",Display,negative,positive,negative → positive,1
"Máy đầu tiên nhận về bị nhiều bụi màn hình và có vết xước. Sau khi đổi, máy thứ hai vẫn còn một chấm bụi nhỏ. Do nghi ngờ đây là lỗi chung của cả lô hàng nên tôi không đổi nữa. Ban đầu tôi không hài lòng với cách xử lý của cửa hàng, nhưng cuối cùng họ vẫn hỗ trợ đổi nên tạm chấp nhận. Bỏ qua lỗi bụi, máy vẫn đáp ứng tốt nhu cầu cơ bản và màn hình không tệ như lời đồn.",Display,negative,positive,negative → positive,1
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 256gb hàng ngon nha xác bạn. Tôi tính mua bản 2 sim nhưng lỡ book không để ý nên hàng về bản 1 sim. Máy ổn, ít nóng khi sử dụng 4g liên tục. Chơi game mượt. Màn ngoài có 1 vết trầy nhưng không ảnh hưởng đến hiển thị. Nói chung là tốt trong tầm giá.",Display,negative,positive,negative → positive,1
Sau một khoảng thời gian sử dụng thấy ổn. Không bị lỗi hệ thống. Nhưng bị một lỗi là màn hình đốm trắng ( hơi mờ ). Pin hơn 2400. Giá 570k cũng được.,Display,negative,positive,negative → positive,1
Variation1: máy màn lưu ảnh nhẹ variation2: bản 1 sim máy cũ nhưng chạy được và cửa hàng có bảo hành nên yên tâm sử dụng,Display,negative,positive,negative → positive,1
"Đã nhận máy nay là ngày thứ 3 mà chỉ khui hộp. Màu hồng đẹp, mặt lưng tráng gương cũng sang lắm. Chỉ là mình đã không tham khảo kỹ trước khi mua máy nên về nhìn màn hình 6,1” là thấy thất vọng toàn tập không buồn …. Các bạn nên tham khảo kỹ trc khi mua hàng có giá trị lớn nhé. Được cái chính sách của shopee rất đảm bảo nhé. Mua hàng mấy năm rồi nên tin tưởng chế độ lắm. Shiper khu vực mình 100đ nhé",Display,negative,positive,negative → positive,1
"Phiên bản: hàn quốc 1 sim 256gb trong tầm tiền thì ngon, giao bản mỹ 128gb 2 sim thay vì bản hàn 256gb 1sim như đã đặt ban đầu, nhưng không sao! màn hơi xước dăm, không bị ám ố, vẫn tặng cửa hàng 5 sao và cảm ơn cửa hàng nhiều",Display,neutral,positive,neutral → positive,1
"cửa hàng nhiệt tình, giao rất nhanh, máy rất đẹp, có điều màn hình máy thi thấy bị bóng mờ đằng sau, nhưng vậy là quá tốt",Display,neutral,positive,neutral → positive,1
"Camera bị vết đen. Máy thì tốt màn hình cảm ứng mượt mà, rất nhạy., nên bị trừ chỉ cho cửa hàng được 4 sao thôi",Display,positive,negative,positive → negative,1
Phân loại sản phẩm: màn oled giao đúng quảng cáo máy bị lo rè,Display,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Máy nhận khá ưng ý, máy cũ nhưng vẫn còn đẹp, màn sáng, cám ứng khá tốt, đúng như mô tả, giao diện máy thì chưa việt hoá hoàn toàn, nói chung là khá ổn còn phải sử dụng thêm 1 thời gian mới biết được. Có điều máy không nhận sạc nhanh và shipper giao hàng không thấy gọi cho mình gì cả, cứ thế báo lên shopee là giao hàng thành công.",Display,positive,negative,positive → negative,1
"Tính năng nổi bật: như mô tả 
Đúng với mô tả: good 
Máy màn to,sắc nét,hơi nhẹ xíu. Camera chụp thấy cũng tốt.",Display,positive,neutral,positive → neutral,2
"Pin 80, máy sử dụng tốt nhận sim nhưng không bật được internet ngoại hình ổn, sử dụng làm máy phụ khá ngon thật tuyệt vời perfect invisible cí lùm mía máy nhận sim nhưng không bật được internet...",General,negative,neutral,negative → neutral,1
Sản phẫm đã qua sử dụng,General,negative,neutral,negative → neutral,1
cửa hàng làm ăn chưa test máy xin khắc phục lại,General,negative,neutral,negative → neutral,1
"Chất lượng sản phẩm: ổn 
Tính năng nổi bật: màn hình lớn điểm cộng là máy màu đẹp, cầm rất nhẹ tay, màn hình lớn, chữ lớn, tiện cho người lớn tuổi sử dụng. Cửa hàng đóng gói kỹ, chắc chắn. Về phần dịch vụ bảo hành thì chưa biết thế nào. Điểm trừ là nắp lưng mở khó cực, lắp cái sim mà nó vất vả. Máy không có tệp âm thanh làm chuông báo, 2 tệp nhạc chuông mặc định quá chừng nản lòng. Hy vọng máy sử dụng ổn định lâu dài.",General,negative,positive,negative → positive,1
"Ngoại hình: đẹp trên 95% 
sạc từ sáng tới tối 15% sạc rất chậm. Mở nguồn lên sử dụng được 5p liện thùng rác đừng có dại mà mua nha mọi người",General,negative,positive,negative → positive,1
"Tính năng nổi bật: 120hz, 32mp 
Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Sử dụng hệ thống nhẹ, khó thao tác hơn, thích hợp cho người lớn tuổi, loa phát âm thanh hơi nhỏ.",General,negative,positive,negative → positive,1
"ngoại quan máy thì tốt ,chất lượng phục vụ kh ổn. mình đã bảo check , tét tốt hãng ship .3 sao vì máy về bị lỗi loa ngoài .mình đã thay loa mới 200k. cửa hàng hỗ trợ 50k để xiết ốc chân loa bị lỏng nhưng không phải lỏng . cửa hàng đưa ra phương án ship hồi lại để sửa tốt rồi lại ship lại cho mình nhưng thấy rất mất time cả đi lẫn về bắc - nam, chắc phải mất trục ngày . nên mình tự sửa vậy .",General,negative,positive,negative → positive,1
thật sự chỉ mong là được con màn zin cin lại như nào cũng được chỉ mong hàng zin thôi nhưng mua về khá thất vọng khi đấy chỉ là màn linh kiện mà tất cả ở đây đã được thay thế linh kiện rồi mặt lưng màn thay rồi như mình khá thích cái lắp mặt lưng như này vì 2 màu vàng với xanh hợp lại cũng tốt nhưng lc mở ra thì bị nứt 1 mép kính nhưng không đáng kể nên cho cửa hàng 3s th nếu được màn zin thì cho 5s,General,negative,positive,negative → positive,1
"Chất lượng sản phẩm: tốt
Không tạo được nhân bản ứng dụng za lo.còn Facebook và ứng dụng khác thì được",General,neutral,negative,neutral → negative,1
Tìm hoài không biết cái nào làm ốp lưng cho nó luôn buồn sao trên thị trường không bán ta,General,neutral,negative,neutral → negative,1
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: tốt 
Tính năng nổi bật: sử dụng tốt",General,neutral,positive,neutral → positive,1
Hàng như hình,General,neutral,positive,neutral → positive,1
"Nhóm màu: đen 
Dung lượng lưu trữ: 16gb 🔋 
Thời lượng pin:2000mah ,",General,neutral,positive,neutral → positive,1
"Phiên bản: hàn quốc 1 sim 
Dung lượng lưu trữ: 256gb chưa sử dụng nên chưa biết mọi thứ hiện tại ổn, check imei đúng. Được tặng kèm tai nghe.",General,neutral,positive,neutral → positive,1
Phiên bản: mỹ 2 sim 128gb sản phẩm uk,General,neutral,positive,neutral → positive,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: chưa biết 
Tính năng nổi bật: chơi game",General,neutral,positive,neutral → positive,1
"Đúng với mô tả: đúng mô tả 
Chất lượng sản phẩm: chính hãng 
Tính năng nổi bật: ai",General,neutral,positive,neutral → positive,1
"Tính năng nổi bật: máy nghe nhạc 
Chất lượng sản phẩm: tốt
Máy sử dụng sim lock softbank, ngoại hình hơi trầy, pin còn ổn khá tốt để làm máy nghe nhạc giải trí",General,positive,negative,positive → negative,1
"Đúng với mô tả: sản phẩm quá xuất sắc 
Chất lượng sản phẩm: tuyệt vời tất cả đều ngon trừ camera, loa kép nghe cực hay",General,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng sản phẩm kích hoạt bảo hành từ ngày mua, ship hơi lâu một chút, chính hãng uy tín, mua sale giá chưa đến 22 củ",General,positive,neutral,positive → neutral,1
"Chất lượng sản phẩm: ổn 
Tính năng nổi bật: nghe gọi chọi 
Đúng với mô tả: đúng màn hình lớn, nhạc chưa được rõ. chưa biết pin sử dụng được bao lâu",General,positive,neutral,positive → neutral,1
"Màu sắc: xanh ngọc dung lượng: 4gb/64gb tuyệt vời cho sử dụng hàng ngày, camera chính 50mp,",General,positive,neutral,positive → neutral,1
"Màu sắc: đen 
Phân loại: nguyên seal đã nhận hàng, cửa hàng đã cài đặt, làm lại seal, hàng mới. 4 Sao rưỡi thôi nhé",General,positive,neutral,positive → neutral,1
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb mọi thứ ồn áp. Không bị lỗi khởi động lại",General,positive,neutral,positive → neutral,1
Nhóm màu: đen sản phẩm đúng như trình bày dong gói kỹ giao hàng nhiệt tình chất lượng máy hoạt động bình thường loa nghe gọi to rõ màn hình lcd không đẹp lắm chấp nhận tiền nào của nấy sẽ ủng hộ cửa hàng lần sau nữa,General,positive,neutral,positive → neutral,1
Sử dụng tạm ổn. Mua cho mẹ nên chủ yếu nghe gọi. Xem youtube,General,positive,neutral,positive → neutral,1
"Tính năng nổi bật: như mô tả 
Đúng với mô tả: good 
Máy màn to,sắc nét,hơi nhẹ xíu. Camera chụp thấy cũng tốt.",General,positive,neutral,positive → neutral,2
hai bản galaxy s23 và s23 plus được thiết kế lại khu vực camera theo phong cách của bản cao cấp nhất. các ống kính được bố trí tách biệt thay vì nằm trong một cụm như trước. mô hình cũng cho thấy cả hai mẫu máy sử dụng ba ống kính phía sau. góc máy được bo tròn hơn phiên bản cũ và được sơn bóng.,General,positive,neutral,positive → neutral,1
làm một điện thoại thứ ba chuyên sử dụng cho wifi cũng khá tốt nếu tài chính dư dả còn nếu để liên lạc qua sim điện thoại và không cần nfc thì nên liên hệ cửa hàng trước khi mua.,General,positive,neutral,positive → neutral,1
đúng với hình ảnh,General,positive,neutral,positive → neutral,1
"Chất lượng sản phẩm: chất lượng tốt 
Đúng với mô tả: đúng với mô tả 
Tính năng nổi bật: chưa sử dụng nên không biết cửa hàng gói hàng chỉ bọc 1 lớp chống sốc mỏng, sợ trong quá trình gửi hàng có bị quăng quật ảnh hưởng tới điện thoại bên trong.",Packaging,negative,positive,negative → positive,1
"Mặt hàng ổn nghe gọi rõ ràng, nhưng đặt màu đen mà lại giao màu xanh và đống gói quá không kỹ lưỡng",Packaging,negative,positive,negative → positive,1
chất lượng sản phẩm không tốt như quảng cáo. đúng với mô tả hơi khác thiếu vài tính năng. tính năng nổi bật camera không nét như mô tả. review mua về vì thấy giá ổn nhưng camera rung ảnh mờ quay tối rất tệ. hiệu năng lúc đầu ổn sau vài ngày lag nhiều. hỗ trợ trả lời chậm không thuyết phục. đóng gói tốt nhưng box móp nhẹ shipping lâu hơn dự kiến,Packaging,neutral,negative,neutral → negative,1
"Cửa hàng đóng gói tốt, không ngờ tặng thêm cục pin, zay sạc nhưng không có củ sạc, chưa test chưa biết nha cho 5 sao, nếu nếu máy tốt sẽ giới thiệu người thân mua. Đánh giá sau 1 tuần là màn hình coi như xong, nó nhảy từa lưa luôn thôi chịu, lần đầu cũng như lần cuối, chịu cửa hàng",Packaging,positive,negative,positive → negative,1
Màn hình cảm biến hơi đơ nhưng máy cầm chắc chắn giao hàng gói hàng cẩn thận,Packaging,positive,negative,positive → negative,1
"Nhóm màu: black 
Dung lượng lưu trữ: 128gb gói kĩ. nhưng giao qua ahamove giao cuối ngày, quá lâu",Packaging,positive,negative,positive → negative,1
"pin sạc rất nóng. nhiệt độ cao. dễ quá nhiệt khi sạc. cắm sạc là máy nóng ran, rất lo. đóng hàng cẩn thận nhưng giao chậm 1 ngày",Packaging,positive,negative,positive → negative,1
"Chất lượng sản phẩm: 8 
Đúng với mô tả: 7 
Tính năng nổi bật: máy ngoại hình ổn máy ngoại hình ổn, đẹp. cấu hình máy không đúng chỉ ram6/128 với tiêu đề đăng bán 8/256.",Performance,negative,neutral,negative → neutral,1
"Hiệu năng bị đơ. Dễ treo máy. Hiệu năng kém. Máy hay bị đơ cứng, phải chờ 1 lúc hoặc khởi động lại. Chăm sóc khách hàng bảo kiểm tra lại mạng. Pin sử dụng cũng bình thường",Performance,negative,neutral,negative → neutral,1
"Hiệu năng chỉ ở mức dưới trung bình, không đáng giá. Ảnh chụp bị nhòe và out nét. Chăm sóc khách hàng hứa hẹn gọi lại xử lí nhưng mất tích.",Performance,negative,neutral,negative → neutral,1
