data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
chuẩn bị hàng quá lâu sản phẩm sử dụng được mấy ngày xuất hiện bụi trong camera. quá thất vọng với 1 sản phẩm đầu bảng của apple,,Negative,,,,,,,,,
pin khỏe. Cảm ứng mượt màn hình hiển thị hơi tối,Positive,,,Negative,,,,,,,
"Chất lượng sản phẩm: không hai long ve thoi gian giao hàng chất lượng so không có gì phải bàn, điều tôi thật sự không hài lòng là thời gian cửa hàng giao sản phẩm quá lâu, gần tuần kể tử lúc đặt hàng mới nhận được sản phẩm, trong khi lúc mua sản phẩm thì ghi thời gian nhận 2 3 ngày. Tôi gọi hỗ trợ cả shopee và cửa hàng bán hàng thì chỉ nhận được câu trả lời chung chung là đang hối thúc, nói là đơn hàng nhiều nên chuẩn bị chậm, trong khi đó vẫn thấy hàng sẵn có và vẫn bán trên shopee, vẫn ghi thời gian giao là 2 3 ngày ??? tôi mua làm quà tặng, nếu tôi biết thời gian giao chậm vậy tôi đã đặt cửa hàng khác giao chỉ trong 1 2 ngày rồi",,,,,,,,Negative,Negative,,
"Chất lượng sản phẩm: đẹp keng như mới 
Đúng với mô tả: 99,99% sản phẩm không làm mình thất vọng. Đóng gói khá kỹ, kèm sạc c to c. Giá cả hợp lý. Nhưng không may mình vừa nhận xong có voucher mới xịn hơn. Nhược điểm là shoppe độc quyền vận chuyển nhưng vẫn chuyển rất lâu tận 8 ngày mới nhận được, vote 5 sao cho cửa hàng nhưng vote 1 sao cho shopee.",,,,,Positive,Positive,Positive,,Negative,,
"Kém quảng cáo lung linh thực tế sử dụng rất tệ, xứng đáng 1 sao,",,,,,,,,,,Negative,
Phân loại sản phẩm: vỏ cũ xài cũng tạm được,,,,,Neutral,,,,,,
Variation3: đen-2xl  tốt.,,,,,,,,,,,Neutral
"Tính năng nổi bật: nhỏ gọn,cute 
Chất lượng sản phẩm: rất tốt,hơi nóng 1chuts 
Đúng với mô tả: rất đúng với mô tả đẹp dễ thương cửa hàng rất nhiệt tình tư vấn khách hàng điện thoại tốt dễ thương rất thích hợp để xem youtube,lướt mạng xh",,,,,Positive,,,Positive,,,
Ngoại hình: đẹp trên 95% nói chung là hợp voi số tiên bộ ra,,,,,Positive,,Positive,,,,
Chính sách bảo hành được áp dụng theo điều khoản tiêu chuẩn.,,,,,,,,Neutral,,,
Phiên bản: mỹ 2 sim 128gb 98% đep...rẻ,,,,,Positive,,Positive,,,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 256gb tốt",,,,,,,,,,Positive,
Màn hình có kích thước và độ phân giải như thông số đã công bố.,,,,Neutral,,,,,,,
Chất lượng sản phẩm: thiết kế đơn giản; đóng gói theo quy cách thông thường.,,,,,Neutral,Neutral,,,,,
"Cửa hàng gói hàng cẩn thận, chuẩn bị nhanh. Điện thoại sử dụng khá tốt.🐧✨",,,,,,Positive,,,,,
"máy ngon màn hình đẹp, phụ kiện đi kèm rất oke, sạc nhanh, nói chung ngon trong tầm giá.",,,,Positive,,,,,,,
"Màu: màu đen 
Phân loại sản phẩm: fullbox mình mua online rất nhiều rồi nhưng đây là cửa hàng mà mình thấy làm có tâm nhất. Chưa biết chất lượng thế nào nhưng hiện tại quá hài lòng với em s22 ultra này, không có gì để chê.",,,,,,,,,,Positive,
Chất lượng sản phẩm: hiệu năng và phần mềm vận hành ổn định khi dùng các ứng dụng cơ bản.,,,Neutral,,,,,,,Neutral,
"Nhóm màu: tai nghe .. 
Dung lượng lưu trữ: 8gb sản phẩm chuẩn lắm nha mọi người,quá ưng ý luôn,mà giá tiền lại phù hợp nữa ,nhưng quan trọng là hợp túi tiền và chất lượng nè ,5* cho cửa hàng để mãi mang sản phẩm tốt đến khách hàng",,,,,,,Positive,,,,
"sản phẩm tệ + chăm sóc khách hàng tệ vô cùng. ai đời lần đầu thấy quả cửa hàng chặn cả khách hàng 😭 khi nhận máy sạc đầy 100% để qua đêm, sáng hôm sau sụt hết sạch pin !!! mình có nhắn tin báo lại với cửa hàng để giải quyết, trước khi đánh giá 1 sao. cửa hàng bảo cho xin sdt, mình gửi cái xong chặn mình luôn 🥲 ủaa kỳ vậy sao bán hàng được",Negative,,,,,,,Negative,,,
Chính sách bảo hành được áp dụng trong thời gian quy định.,,,,,,,,Neutral,,,
hàng quá tệ sài được vài hôm giật lag lướt Facebook tiktok đơ kinh khủng có nhắn tin cho cửa hàng mấy hôm nay mà không thấy trả lời,,,Negative,,,,,Negative,,,
"Tính năng nổi bật: tốt 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt
Trải nghiệm gần 1 tháng quay lại đánh giá, máy ổn màn hình đẹp ngoại hình tầm cỡ 93% vài vết xước dăm không đáng kể. nghe nhạc chơi game mượt pin hơi hẹo on screen tầm 3-4h còn lại tốt!",,,Positive,Positive,Neutral,,,,,,
Vỏ máy được làm từ nhựa và khung kim loại.,,,,,Neutral,,,,,,
Hiệu năng quá tải khi sử dụng web pin chai sau 1 tháng chăm sóc khách hàng trả lời muộn,Negative,,Negative,,,,,Negative,,,
Thời lượng pin 53200 mAh như được công bố,Neutral,,,,,,,,,,
"Dung lượng lưu trữ: 128gb 
Nhóm màu: đen trân châu 
Phân loại sản phẩm: 8gb điện thoại rất tốt, tiếng việt đầy đủ",,,,,,,,,,Positive,
Mọi thứ đều tốt.ngoài trừ việc ship hàng quá lâu.mình nội thành hà nội mà mất tới 7 ngày.,,,,,,,,,Negative,,
"Chất lượng:hình ảnh đồ họa không được cao chất liệu:cammera được thay cái khác bị nhô ra hoài, chơi game thì bị lia rất nhiều siêu khó chịu và điện thoại đã thay màn, cho những người không bt, thay màn là điện thoại điện thoại cũ, vd như galaxy 03 02, mà đã thay màn rồi sẽ hiện nguồn lên galaxy 30 31s, là điện thoại lậu không đáng tiền!!",,Negative,Negative,Negative,,,,,,,
"Mình thường mua sản phẩm trên shopee. Khá hài lòng về thời gian đóng gói của cửa hàng và thời gian giao hàng của đơn vị vận chuyển. Dòng nubia thì cũng có tìm hiểu kỹ từ các video review trên ytube cho nên mình chọn con này. Đã test thử từ game, nghe nhạc, độ mượt của màn 120hz quá tốt, giá cả lại quá hợp túi tiền. Rất tiếc là cửa hàng không có các dòng nubia z nhưng mà vẫn tốt. Sản phẩm này ổn trong tầm giá. Sẽ ủng hộ nếu cửa hàng có các dòng mạnh hơn. Chúc cửa hàng mua may bán đắt nhé.",,,Positive,Positive,,Positive,Positive,,Positive,,
"Sản phẩm như quảng cáo trên cửa hàng bán, cửa hàng giao hàng siêu nhanh",,,,,,,,,Positive,,
"Chất lượng sản phẩm: sản phẩm đẹp 
Đúng với mô tả: đúng 
Tính năng nổi bật: chụp hình đẹp giá mua khá phù hợp, mức giá này với 1 chiếc điện thoại khá oke",,Positive,,,,,Positive,,,,
"Chất lượng sản phẩm: tốt ,phải sử dụng 1 thời gian mới đánh giá đúng được 😉 
Đúng với mô tả: đúng 
Tính năng nổi bật: gaming máy đúng như mô tả ,cửa hàng tư vấn nhiệt tình.",,,,,,,,Positive,,,
Tính năng: giá điện thoại chất lượng: tốt chất liệu: tốt đóng gói cẩn thận ship nhanh ,,,,,Positive,Positive,,,Positive,,
"Giá cả sản phẩm là tạm ổn so với những gì nhận được. Thiết kế cơ bản, cầm nắm thoải mái nhưng mặt lưng dễ xước.",,,,,Neutral,,Positive,,,,
"Mọi thứ điều tốt nhưng cách phụ vụ chưa tận tâm, nhắn tin không thèm trả lời mong shopp cố gắng khắc phục.",,,,,,,,Negative,,,
Nhân viên cửa hàng xác nhận thông tin đơn hàng,,,,,,,,Neutral,,,
Nhóm màu: đen mua điên thoai j7prim giao j8 không sử dụng được ,,,,,,,,,,Negative,
"Màu tím bên ngoài đẹp dịu, mua cho ph sử dụng quá tốt, áp mã còn hơn 3300k. Chỉ có cái mở app zalo này kia bị nhảy quảng cáo bực kinh khủng",,,,,Positive,,,,,Negative,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb mình nhờ cửa hàng giao nhanh, cửa hàng nói không kịp nhưng cuối cùng lại đến sớm như mong đợi, đóng gói cẩn thận, chắc chắn",,,,,,Positive,,,Positive,,
Không lên pin,Negative,,,,,,,,,,
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb 📸 
Chất lượng camera: tốt ⚡ 
Hiệu suất: tốt 🔋 
Thời lượng pin: tốt",Positive,Positive,,,,,,,,,
"Có người quen giới thiệu nên cũng tin tưởng và mua ủng hộ cửa hàng . Được 1 cái là cửa hàng giao hàng nhanh còn chất lượng thì y như người quen của mình đã nói luôn, siêu tuyệt vời, đã thế còn giá rẻ nữa, chần chờ gì mà không mua nữa bà con ơi",,,,,,,Positive,,Positive,,
Sản phẩm: hàng lỗi hoặc bị hư hỏng ah em mua nho can than nha co may loi dung cung không được dau,,,,,,,,,,Negative,
"Cảm ứng đơ không giống hình pin tụt nhanh chóng,",Negative,,,Negative,,,,,,,
Hiệu năng xử lý được các tác vụ văn phòng thông thường.,,,Neutral,,,,,,,,
"Màu sắc: đen opal 8gb/128gb 🔋 
Thời lượng pin: tốt ⚡ 
Hiệu suất: tốt 📸 
Chất lượng camera: camera chụp đẹp",Positive,Positive,Positive,,,,,,,,
Nói chung sản phẩm thì chưa biết phải sử dụng qua thời gian thì mới đánh giá chính xác được.,,,,,,,,,,Neutral,
máy sử dụng rất tốt cửa hàng ơi mỗi cái vân tay không sử dụng được buồn qua mong rằng vân tay nó sử dụng được,,,,,,,,,,Positive,
Hình ảnh chỉ mang tính chất minh họa. Trải nghiệm thực tế có thể khác biệt.,,,,,,,,,,Neutral,
"Tính năng nổi bật: chưa biết 
Chất lượng sản phẩm: sài một thời gian mới biết 
Đúng với mô tả: cục xạc không giống với mô tả cục sạc đáng lẽ là loại 2.5a mà cửa hàng giao loại 2.4a hình dáng hoàn toàn khác nhau. Còn máy mới sử dụng thấy cũng được nhưng không bít sài lâu ra sao",,,,,,,,,,Neutral,
"Nhóm màu: đen nhận được hàng rất ưng, cửa hàng giao nhanh, đóng gói cẩn thận, giao đúng mẫu mình chọn mua. điện thoại giống mô tả, sử dụng rất tốt nha, nghe gọi rất ổn. sẽ còn quay lại mua tiếp của cửa hàng",,,,,,Positive,,,Positive,,
Cửa hàng báo nguyên zin mà về sử dụng mới 2 ngày thì lưng bung keo gần hết màn thì nguyên đóm sáng dưới góc.nhắn cửa hàng thì như không.anh em cẩn thận nhé,,,,Negative,,,,Negative,,,
"Dung lượng lưu trữ: 128gb 
Nhóm màu: trắng băng tuyết 
Phân loại sản phẩm: 6gb điện thoại tuyệt vời. tuy nhiên để ở chế độ chạm vào màn hình đang tắt thì hiển thị đồng hồ, mà bỏ vào túi quần thì điện thoại tự động mở tùm lum các ứng dụng. tóm lại, phải tắt chế độ này đi mặc dù có nhu cầu.",,,,,,,,,,Negative,
Mọi người cho hỏi hệ điều hành của máy cập nhật như thế nào vậy?,,,,,,,,,,Neutral,
"Màu sắc: đen 
Phân loại: nguyên seal phiên bản quốc tế tuyệt vời với khả năng tương thích toàn cầu . Sản phẩm nguyên seal ....",,,,,,,,,,Positive,
sản phẩm tuyệt vời trong phân khúc tầm giá mẹ mình rất thích cảm ơn cửa hàng mong cửa hàng mang thêm nhiều sản phẩm chất lượng và giá hợp lý về Việt Nam 🇻🇳😁😁😁,,,,,,,Positive,,,,
Chăm sóc khách hàng chờ mãi không trả lời hiệu năng lag mở menu pin hao pin video,Negative,,Negative,,,,,Negative,,,
Chất lượng sản phẩm: màn hình có độ phân giải phù hợp; mức giá sản phẩm ở phân khúc phổ thông.,,,,Neutral,,,Neutral,,,,
"1.mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2.không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4.máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Neutral,Negative,Negative,,Negative,,,,,,
"Color family: random color sản phẩm: máy sử dụng rất ổn, cấu hình thì không cần phải bàn , bề ngoài đẹp ,giá cũng hợp lý.",,,,,Positive,,Positive,,,,
Nhóm màu: xanh cửa hàng giao đúng hàng như đã quảng cáo....very good.!!!!!,,,,,,,,,Positive,,
Sản phẩm: sản phẩm không như mô tả sản phẩm không như quảng cáo. Nhắn tin trả hàng cửa hàng không giải quyết. Để quảng cáo thì điện thoại khác. Tới khi nhận hàng thì điện thoại khác.,,,,,,,,Negative,,,
"Đúng với mô tả: quá chuẩn hàng ngon 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: chụp đẹp chơi vui có thể lén bố mẹ chơi",,Positive,,,,,,,,,
"Máy tầm 97% đúng máy 2 sim, pin còn 69%, thôi thì đằng nào cũng tìm mua pin 1m4 5000mah về độ lại cho trâu nên không nghĩ nhiều",Negative,,,,,,,,,,
Điện thoại vừa sử dụng đã hết pin. Sạc lâu đầy. Đầy xong có người gọi thì vừa a lô cái nó sập nguồn. Đen xì. Thử sả pin 2 ngày xạc qua đêm mấy đêm vẫn vậy. Sử dụng cái là nó ngủm,Negative,,,,,,,,,,
"Tiktok với các tính năng cơ bản, hệ điều hành android 12.",,,,,,,,,,Neutral,
"Pin sử dụng không được 5 tiếng, rất thất vọng. Máy thỉnh thoảng tự khởi động lại. Đóng gói không kèm hoá đơn.",Negative,,,,,Negative,,,,,
"Phiên bản: ram 6/128gb mình nhận xét sau mấy ngày sử dụng sản phẩm,rất tuyệt hình ả sáng đẹp lướt rất mượt tốc độ rất nhanh ,loa to âm thanh hay,pin rất trâu,giá nói chung vừa tầm đổi lại chất lượng vừa lòng mình ,rất thích cảm ơn cửa hàng nhiều có dịp sẽ ủng hộ tiếp,mọi người lên mua ủng hộ shops sản phẩm này ,không làm mọi người thất vọng đâu,cửa hàng nhiệt tình chu đáo hướng dẫn vui vẻ ,uy tín chất lượng ta,tặng cửa hàng nghìn sao👌👍",Positive,,,Positive,,,Positive,Positive,,Positive,
"Camera sau nhòe, lấy nét kém. Chất lượng ảnh kém. Quay video rung lắc. Camera chụp ảnh bị out nét, video rung không sử dụng được. Chăm sóc khách hàng hỏi mãi không trả lời.",,Negative,,,,,,Negative,,,
"Chất lượng sản phẩm: Pin có dung lượng 3000mAh. 
Đúng với mô tả: Thời lượng pin ở mức trung bình.",Neutral,,,,,,,,,,
"Nhóm màu: màu jet black máy camera trày xước nhiều, cổng sạc cũng bị hao mòn nhiều, cạnh bên hong bị tróc màu nhiều, không như kỳ vọng hàng likenew cửa hàng ghi. Kiểm tra máy thêm xem có lỗi lầm gì không.",,Negative,,,Negative,,,,,,
"Giao hàng nhanh đúng chủng loại sản phẩm,sản phẩm chất lượng rất tốt,xin cảm ơn shopee.",,,,,,,,,Positive,,
"Phiên bản: mỹ 2 sim 99% 128gb hàng đẹp,sau 1 time sử dụng",,,,,Positive,,,,,,
"Hàng đúng mô tả, tốt ycsnki ctesh nkid moudg fda mjgxc ffc tđng",,,,,,,,,,,Neutral
"Sản phẩm đúng như cửa hàng quảng cáo. Test thử đến hôm nay thấy tốt , sử dụng ổn , cửa hàng hỗ trợ rất nhiệt tình , độ bền sản phẩm phải có thời gian trải nghiệm đã . Tốt",,,,,,,,Positive,,Positive,
giao hàng nhanh chóng nhân viên gọi điện hỏi chị tiết địa chỉ giao hoặc được lựa chọn ra cửa hàng lấy,,,,,,,,,Positive,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb các tính năng đột phá, yêu cổng usb-c!, lựa chọn màu sắc tuyệt vời!, giao hàng nhanh chóng và an toàn., màu sắc tuyệt đẹp, khó lựa chọn!,",,,,,Positive,,,,Positive,,
Màu sắc: đen hàng tốt,,,,,,,,,,Positive,
"Nhóm màu: white 
Dung lượng lưu trữ: 256gb giao hàng nhanh chóng và hiệu quả,",,,,,,,,,Positive,,
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt
Neo tốt nhé mọi người .. Nên mua trong tầm giá 4củ nhé mọi người",,,,,,,Positive,,,,
"Chất lượng sản phẩm: cực kém 
Đúng với mô tả: hoàn toàn sai 
Tính năng nổi bật: không có máy sử dụng 2 ngày đã lỗi màn hình, pin sụt không phanh, cửa hàng không chịu bảo hành",Negative,,,Negative,,,,Negative,,,
"Màu sắc: đen 
Phân loại: nguyên seal chất lượng",,,,,,,,,,Positive,
Bị khoá tk khi mua hàng tại shopdunk,,,,,,,,,,,Neutral
"mua được giá tốt, màu sắc đẹp hơn mong đợi, chất lượng đợi sử dụng mới đánh giá tiếp...",,,,,Positive,,Positive,,,,
Camera chụp ảnh trong điều kiện ánh sáng đầy đủ cho chất lượng ổn.,,Neutral,,,,,,,,,
"giao máy lỗi ,bị đứng màn , đơ màn , cảm ứng đứng luôn , cửa hàng không giải quyết đơn , mua cẩn thận nha nên cân nhắc cửa hàng này nha mọi người",,,,Negative,,,,Negative,,,
"Tính năng nổi bật: good 
Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Chịu lực tốt, gõ không vỡ",,,,,,,,,,Positive,
pin xuống cấp rõ rệt. dung lượng pin giảm chỉ còn 80% sau 5 tháng. hiệu năng thỉnh thoảng bị giảm xung. máy dùng nhanh hết pin hơn lúc mới mua. ship hàng trễ hơn 4 ngày,Negative,,Negative,,,,,,Negative,,
"Nhóm màu: màu trắng sản phẩm: dây cáp ⚡ 
Hiệu suất: tốt 📸 
Chất lượng camera: tốt quay phim chụp hình rất đẹp máy mới full phụ kiện nhân viên chăm sóc khách hàng tốt giao hàng tận nhà nhanh chóng đóng hộp kĩ càng cẩn thận chắc chắn màn hình cảm ứng to mượt mà nhạy lướt web cực kì nhanh pin khá ổn áp, sử dụng được khá lâu máy mới đẹp full chức năng, vừa vặn ram máy mạnh chơi game không giật lãng lướt web xem phim cực chất lượng giá cả hợp lý vừa túi tiền rất tốt với cửa hàng",Positive,Positive,Positive,Positive,,Positive,Positive,Positive,Positive,,
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb hàng ngon giá tốt ship nhanh. 10 Điểm mua làm quà tặng hết nấc. Tán gái yêu luôn",,,,,,,Positive,,Positive,,
Kích thước màn hình đúng với thông số kỹ thuật được công bố.,,,,Neutral,,,,,,,
"Đúng với mô tả: đúng với mô tả 
Chất lượng sản phẩm: quá tuyệt vời máy cầm êm tay chắc khoẻ. tốt tecno.",,,,,Positive,,,,,,
điện thoại về tới thì bị loạn cảm ứng không sài được,,,,Negative,,,,,,,
"Tệ giả mạo thương hiệu logo bong tróc, hàng nhái kém chất lượng,",,,,,,,,,,Negative,
"Cảm ơn cửa hàng. Đã nhận được hàng bên cửa hàng và rất ư là vừa ý luôn kk. Giá cả mình thấy khá đánh giá cửa hàng 5 sao, khi nào có nhu cầu sẽ ủng hộ cửa hàng tiếp",,,,,,,Positive,,,,
Cửa hàng không hỗ trợ được cho khách hàng!,,,,,,,,Negative,,,
Hệ điều hành có các bản cập nhật định kỳ. Camera cho ra ảnh có màu sắc trung thực.,,Neutral,,,,,,,,Neutral,
Cũng tốt so với tầm giá chưa quen sử dụng máy gaming nên cảm giác hơi lạ,,,,,,,Positive,,,,
"Tính năng nổi bật: chưa biết 
Chất lượng sản phẩm: chưa biết sẽ cho mọi người kết quả khi dùng đủ lâu.",,,,,,,,,,Neutral,
"Chất lượng sản phẩm: tạm 
Tính năng nổi bật: được 
Đúng với mô tả: không đúng máy trày sâu máy sướt sâu như ảnh, máy camera sau sứớc long mèo nhiều, màn dán chống trầy nên không rõ nhưng quan sát thấy đẹp.tet máy bin còn 83%, áp nhảy chống nước yếu mình nghĩ không còn khả năng chống nước, mua trả góp cũng không yên, sợ anh linh, thề tôi nói láu ra đường xe t.",Negative,Negative,,,Negative,,,,,,
Ngon lành cành đào! giá tốt! nguyên seal! cửa hàng uy tín!,,,,,,Positive,Positive,,,,
"điện thoại rất tốt , sóng mạnh , sim 4g viettel bỏ vào máy sử dụng tốt nha các bạn . ai có nhu cầu thì nên mua .",,,,,,,,,,Positive,
Camera sau có độ phân giải chính xác theo công bố.,,Neutral,,,,,,,,,
Màu sắc: màu ngẫu nhiên sản phẩm: tốt lắm nha cửa hàng mình đã mua lần thứ hai máy tốt chuẩn giá rẻ phù hợp với tiêu chí sử dụng của mình nói chung là mọi chức năng đều rất là ổn đúng máy chính hãng sử dụng cũng tốt lắm cửa hàng tư vấn nhiệt tình cảm ơn cửa hàng nhiều nhé tốt thì mình sẽ ủng hộ cửa hàng dài dài tặng cửa hàng 5 sao nha,,,,,,,Positive,Positive,,,
Sản phẩm không tốt toàn người của cửa hàng cmt thôi điện thoại thì dựng méo móp loa thì gọi không nghe được cửa hàng có đọc đươc thì nhắn tin qua zalo 0354881386 nhé,,,,,,,,,,Negative,
Đúng theo công bố về phiên bản phần mềm; quy trình bảo hành cần kiểm tra sau.,,,,,,,,Neutral,,Neutral,
"Hiệu năng thì mình chưa thử tác vụ nặng, sẽ đánh giá sau. Cho mình hỏi hệ điều hành có nên cập nhật ngay không?",,,Neutral,,,,,,,Neutral,
Trả hàng máy lên mạnh lúc được lúc không,,,Negative,,,,,,,,
Màu máy: màu trắng sản phẩm: samsung a50 4/64gb máy tốt lắm cửa hàng nhận máy về sài 10ngày nay đánh giá cho cửa hàng nè .máy mới chuẩn chính hãng. nói chung ổn giá cũng tốt .cửa hàng có sạc cáp ốp lưng tốt nha sẽ ủng hộ cửa hàng nè .....tặng cửa hàng 5*,,,,,,,Positive,,,,
"Máy sướt sâu như ảnh, máy camera sau sứớc long mèo nhiều, màn dán chống trầy nên không rõ nhưng quan sát thấy đẹp.tet máy bin còn 83%, áp nhảy chống nước yếu mình nghĩ không còn khả năng chống nước, mua trả góp cũng không yên, sợ anh linh, thề tôi nói láu ra đường xe t.",,Negative,,,Negative,,,,,,
"tệ không khớp kém shipping lâu kinh khủng. đóng gói hỏng, hộp méo mó.,",,,,,,Negative,,,Negative,,
"nhóm 
Màu sắc: màu ngẫu nhiên sản phẩm: chất lượng sản phẩm bên cửa hàng rất tuyệt ,cửa hàng bán hàng uy tín chất lượng,và giá cả rất bình dân.... cảm on cửa hàng đã giao hàng nhanh và hàng chất lượng. rất đáng nên mua nhé mọi người",,,,,,,Positive,,Positive,,
"Màu sắc: đen 
Phân loại: không hộp (mới 100%) máy quá xuất sắc nhưng cái giá nói lên tất cả đẹp rẻ chuẩn hàng xuất nhật ngon hơn con poco 4 nfc trước mua 5.5tr luôn",,,,,Positive,,Positive,,,,
"Đặt màu hồng, wifi kết nối 5g, sẽ đánh giá thêm.",,,,,,,,,,Neutral,
Nhóm màu: màu đen nhám giao hỏa tốc cộng với siêu sale nên lấy được máy sớm và giá cực okee,,,,,,,Positive,,Positive,,
Tôi chưa có trải nghiệm thực tế với sản phẩm nên chưa thể đưa ra đánh giá chi tiết. Tôi sẽ cập nhật sau khi sử dụng,,,,,,,,,,Neutral,
"rất tệ. quảng cáo sai sự thật. máy nóng bất thường. máy lag giật liên tục chỉ mở 2 app. pin tụt 50% chỉ sau 1h xem video. đóng hàng mỏng manh, hộp móp hết. ship cực kì lâu, ko đúng hẹn",Negative,,Negative,,,Negative,,,Negative,,
Không đúng hàng nhưng sài cũng tốt,,,,,,,,,,Positive,
"Màu sắc: hồng đỏ: 
Dung lượng lưu trữ: 128gb điện thoại mới 99% nha..không có vấn đề gì...máy mượt nha.. mình sử dụng 3 ngày rồi.. thấy tốt lắm..không có vết trầy xước nào luôn",,,Positive,,Positive,,,,,,
"Chất lượng sản phẩm: đẹp không một vết xước 
Đúng với mô tả: đúng 
Tính năng nổi bật: mạnh",,,,,Positive,,,,,,
không đổi được ngôn ngữ,,,,,,,,,,Negative,
"Chất lượng sản phẩm: ảo 
Đúng với mô tả: không thật 
Tính năng nổi bật: tệ
Hại giá 4tr5 mà máy nóng, pin nhanh hết, không đáng tiền",Negative,,,,,,Negative,,,,
Đóng gói sản phẩm bao gồm hộp và các phụ kiện tiêu chuẩn.,,,,,,Neutral,,,,,
"Ngon bổ rẻ thấy link vip xuất hiện, các bạn cần bấm nạp vip. Sau khi trở thành vip member, bạn load lại trang này và sẽ thấy link tốc độ cao dành cho riêng member vip. Cách kiểm tra tài khoản có vip hay chưa bằng",,,,,,,Positive,,,,
