data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Anh em đã lên xem những đánh giá về g6 chưa. Nếu sử dụng thử không như youtobe đánh giá đâu. Tiền nào của đó. Giá này hiện nay chỉ sánh ngang mấy e tầm giá này mới ra thôi nhé,,,,,,,Negative,,,,
Đóng gói sơ sài máy bị móp cạnh hiệu năng quá nhiệt khi sử dụng lâu chăm sóc khách hàng không hỗ trợ,,,Negative,,,Negative,,Negative,,,
"Màn hình chập chờn khi mở app, cảm ứng thỉnh thoảng treo. Khác xa mô tả hiển thị sắc nét. Ship báo đã giao nhưng nhận trễ",,,,Negative,,,,,Negative,,
"Đồ bỏ đi đánh lừa người mua hao pin kinh khủng,",Negative,,,,,,,,,,
Giao lâu quá ạ,,,,,,,,,Negative,,
Điện thoại đẹp nha mở hộp thấy ưng ý lắm không biết dùng lâu dài sẽ như thế nào nhưng trước mắt thấy rất ổn,,,,,,,,,,Positive,
Sử dụng vài hôm tự tắt nguồn.,,,,,,,,,,Negative,
"Tính năng nổi bật: Giao hàng không đúng. Kém chất lượng 
Chất lượng sản phẩm: Quá tệ 
Đúng với mô tả: Anh em hãy tin tôi",,,,,,,,,Negative,,
"Cổng sạc lỏng ghi 'chắc chắn' sạc hay mất kết nối khi di chuyển,",,,,,,,,,,Negative,
"Dung lượng lưu trữ: 128gb 
Nhóm màu: Đen trân châu 
Phân loại sản phẩm: 8gb điện thoại rất tốt, tiếng việt đầy đủ",,,,,,,,,,Positive,
"Giao hàng nhanh, hàng ₫óng gói Cẩn thận hàng ₫ứng mẫu cửa hàng uy tín",,,,,,Positive,,,Positive,,
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Bình thường 
Tính năng nổi bật: Nghe nói máy thì là ổn áp, nghe gọi tốt đúng cơ bản của một chiếc điện thoại, cơ mà pin thì hơi nhỏ thì phải.",Negative,,,,,,,,,Positive,
"Nhóm 
Màu sắc: Màu ngẫu nhiên sản phẩm: Mua hàng ở cửa hàng này khá tốt, đóng gói tốt. Giá tiền rẻ so với mặt bằng chung. Nhìn chung thì cũng hài lòng nha",,,,,,,,,,,Neutral
"Nhựa rẻ tiền khác xa thực tế sóng yếu, wifi không bắt được,",,,,,,,,,,Negative,
"Variation3: Bạc variation1: Nguyên seal máy sử dụng ổn định hàng đẹp nguyên seal, mua cho phụ huynh nên không có chụp hình sản phẩm, cảm ơn cửa hàng nhiềuu",,,,,Positive,,,,,,
Giao hàng nhanh điện thoại chất lượng không có lỗi lầm nào 5 sao chất lượng,,,,,,,,,Positive,,
"Hình chụp là máy thật nha, hàng chuẩn, mua hàng giá trị cao nên lo lắng may là máy nguyên seal không vấn đề gì mà còn rẻ nữa",,Positive,,,,,Positive,,,,
"Dở không không có pin sạc ì ạch. Hiệu năng treo máy hoài.,",Negative,,Negative,,,,,,,,
Pin nhanh hết pin,Negative,,,,,,,,,,
"Pin chai chỉ sau 4 tháng. Tuổi thọ pin quá thấp. Pin kém. Mới sử dụng vài tháng mà pin đã thấy tụt nhanh hơn hẳn, rõ ràng là pin dởm. Shipping thì chậm hơn dự kiến 1 ngày",Negative,,,,,,,,Negative,,
"Màu sắc: Bạc 
Phân loại: Nguyên seal máy nguyên seal nha mọi người",,,,,,Positive,,,,,
"Quá tốt cho 1 con điện thoại xách tay, rất mượt sạc nhanh pin trâu hiệu năng khỏi phải bàn cải, cửa hàng dễ thương đáng mua.",Positive,,Positive,,,,,Positive,,,
Điện thoại dùng ổn ngoại hình tốt pin trâu cấu hình dùng bình thường tốt giá rẻ hơn mua trực tiếp trong cửa hàng nên mua lần sau sẽ ủng hộ tiếp,Positive,,,,Positive,,Positive,,,,
"Nhóm màu: Xanh ngọc 
Dung lượng lưu trữ: 128gb giao hàng nhanh. Cửa hàng đóng gói rất cẩn thận. Sau hơn tuần sử dụng thấy mọi thứ tốt. Pin ổn, sạc nhanh. Nói chung là tốt!",Positive,,,,,Positive,,,Positive,,
"Tính năng nổi bật: Rất tôt 
Đúng với mô tả: Sản phẩm đúng ssvn kích hoạt bảo hành đúng ngày nhận, cửa hàng tư vấn kĩ càng lần đầu mua hàng giá trị cao trên shopee cũng lo lắng thật, cũng may mắn áp mã mà không bị shopee hủy đơn",,,,,,,,Positive,,,
"Màu tím bên ngoài đẹp dịu, mua cho phụ huynh sử dụng quá tốt, áp mã còn hơn 3300k.",,,,,Positive,,Positive,,,,
Đã nhận được hàng và quà tặng từ cửa hàng. Cảm ơn!,,,,,,,,,,Positive,
"Một số ud chạy khá nhanh,chơi game thì mua, mượt phết, ",,,Positive,,,,,,,,
Nhóm màu: Màu ngẫu nhiên sản phẩm: Hài lòng,,,,,,,,,,,Neutral
"Hàng ok, giá rẻ, đúng nhu cầu của mình, giao hàng nhanh, shipper thân thiện",,,,,,,Positive,,Positive,Positive,
Chỉ có cáp không kèm củ sạc,,,,,,,,,,,Neutral
Đã nhận được hàng săn sale siêu rẻ luôn ạ hành cửa hàng đóng gói chắc chắn,,,,,,Positive,Positive,,,,
"Máy sử dụng tốt trong tầm giá mọi người nhé, cửa hàng trả lời tin nhắn nhanh, tư vấn nhiệt tình",,,,,,,Positive,Positive,,,
"Camera sọc ảnh mẫu khác chụp đêm dở, autofocus fail,",,Negative,,,,,,,,,
"Đầy đủ phụ kiện, hiệu suất quá ngon trong tầm giá, mỗi cái lấn cấn là pin hao hơi nhanh",Negative,,Positive,,,,Positive,,,,
"Đúng với mô tả: Sản phẩm đúng với mô tả 
Chất lượng sản phẩm: Mới sử dụng không biết chất lượng có bền không. Hình ảnh chỉ mang tính minh họa",,,,,,,,,,Neutral,
"Color: Đen-2xl tuyệt vời cho phong cách đường phố, dễ phối đồ và linh hoạt, hiện đại và thời trang,",,,,,,,,,,,Neutral
"Lỗi phần mềm thiếu tài liệu camera trước mờ, pin tụt nhanh. Máy hay bị treo và khởi động lại, không có sách hướng dẫn đầy đủ như quảng cáo, camera selfie thì mờ như có sương mù.",Negative,Negative,,,,,,,,,
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb thời lượng pin lâu dài, giá trị tuyệt vời cho số tiền, thiết kế đẹp mắt, tính năng sạc nhanh,",Positive,,,,Positive,,Positive,,,,
Giao hàng tận nơi cho khách hàng chất lượng sản phẩm như hình ảnh mô tả sản phẩm như ý tôi sẽ mua tiếp tục vào lần sau chúc mừng cửa hàng bán hàng tốt,,,,,,,,,Positive,,
"Tính năng nổi bật: Trickger chơi game rất ổn 
Đúng với mô tả: Chơi game không bị drop fps nhé, nhưng sẽ khá nóng vì là gaming phone không bóp hiệu năng 
Chất lượng sản phẩm: Cầm chắc tay, loa nghe hay, đồng hồ săn sale rất ngon :)))) chơi game bị giảm sáng khá khó chịu, bệnh của ip, anh em chơi trong nhà thì được chứ ngoài trời bó tay",,,Positive,,Positive,,,,,Positive,
"Mua 5cái hỏng 3, báo cửa hàng giải quyết cửa hàng kêu đợi lên đơn hàng gửi máy khác về đổi, hơn chục ngày không hỏi cũng không nói gì",,,,,,,,Negative,,,
"Color family: Random color sản phẩm: Ngon, bổ, rẻ, chất lượng, tặng cửa hàng 5 sao",,,,,,,,,,,Neutral
"Chất lượng sản phẩm: Ổn 
Đúng với mô tả: Đúng 
Tính năng nổi bật: Có vân tay trong màn hình điện thoại ổn trong tầm giá, chụp bầu trời lúc trời xanh mây trắng đẹp. Sử dụng được mấy hôm thấy khá mượt. Pin hơi yếu dù có viên pin 5500mah. Với nhu cầu cơ bản chỉ nghe gọi, lướt mạng xã hội thì điện thoại này sử dụng tốt. Không biết chơi game nên không thử được hiệu năng lúc chơi game. Rất đề cử cho ai kinh tế eo hẹp.",Negative,,Positive,,,,Positive,,,,
Pin sạc pin kém chất lượng camera thiếu chi tiết pin hao pin khi nghe gọi,Negative,Negative,,,,,,,,,
"Ngoại hình: Đẹp trên 95% trước khi mua hỏi có sử dụng được 4g và zalo không thì cửa hàng bảo sử dụng được. Mua về rồi thù máy chỉ dùnh được 4g và không hỗ trợ và sử dụng được zalo. Hỏi cửa hàng hỗ trợ thì lại bao không sử dụng được zalo sao lại hỏi"" thấ vọng.""",,,,,Positive,,,Negative,,,
"Quay video hay bị giật, chống rung kém. Khác với mô tả quay mượt. Tính năng 4k có giới hạn thật. Máy nhanh nóng khi quay dài, đóng gói không an toàn",,Negative,Negative,,,Negative,,,,,
"Vừa nhận máy, test máy thấy khá là mượt. Ổn định, sạc pin nhanh. Đánh giá 5 sao, có gì sẽ phản hồi tiếp",Positive,,Positive,,,,,,,,
"Sản phẩm chất lượng tuyệt vời, thiết kế tinh tế và sử dụng rất tiện lợi. Chất liệu bền, cảm giác khi sử dụng rất thích. Đóng gói cẩn thận, giao hàng nhanh chóng. Giá cả hợp lý so với chất lượng. Rất hài lòng, sẽ tiếp tục ủng hộ và giới thiệu cho người thân.",,,,,Positive,Positive,Positive,,Positive,Positive,
"Hình thức đẹp, chất lượng quá tốt, mình thấy không khác biệt mấy so với hàng new. Bạn tư vấn nhiệt tình, đóng gói cẩn thận. Con mình đã đạp từ trên giường xuống đất vẫn không sao, ace cứ yên tâm mua,,=)))",,,,,Positive,Positive,,Positive,,,
Phân loại sản phẩm: Vỏ cũ tốt nhưng tai nghe trong hư phải đi sữa lại,,,,,,,,,,Negative,
"Cửa hàng cực kỳ dễ thương, tư vấn chuyên nghiệp...... Chất lượng rất tuyệt so với giá cả luôn nha. Giao hàng cũng nhanh chóng nữa, nói chung là mình hài lòng lắm luôn. Sẽ mua tiếp",,,,,,,Positive,Positive,Positive,,
"Chất lượng sản phẩm: Nfc không được nhạy, camera tương đối ổn 108mp mà nó lạ lắm 
Đúng với mô tả: Redmi note 14, hàng trưng bày 
Tính năng nổi bật: Trong tầm giá dễ tiếp cận đến người sử dụng nhân viên fpt nhiệt tình, chu đáo, nhận hàng là hàng trưng bày, không được bóc siu, hàng đã khui hộp. Không được thích cho lắm. Nếu được nhận hàng full box nữa thì quá tốt. Cần rõ ràng hơn về chính sách bảo hành của sản phẩm.",,Positive,,,,,Positive,Positive,,,
"Hỏng phím âm lượng,sóng yếu,cửa hàng đồng ý giao màu đen nhưng lại giao màu trắng, thiếu trung thực. Trả lời khách chậm.",,,,,Negative,,,Negative,Negative,,
"Màu sắc: Tím cửa hàng bán hàng rất nhiệt tình máy nguyen zin như mới, cửa hàng còn tặng hộp cho mình mặc dù không phải hộp của máy đó nhưng có là quá tốt rồi, còn được cửa hàng tặng phụ kiện ốp cáp sạc tai nghe xịn nữa, nói chung với giá mua được thì quá hời, rất rẻ luôn, mọi người ủng hộ cửa hàng này đi mình đảm bảo bán hàng uy tín, chúc cửa hàng mua may bán đắt",,,,,,,Positive,Positive,,,
Sản phẩm sử dụng tốt cho anh em cty cấm điện thoại smartphone 🤣,,,,,,,,,,Positive,
"Máy nóng nhanh khi sử dụng 4g và sạc. Khác với mô tả tản nhiệt tốt. Tính năng turbo không giữ được hiệu suất. Fps tụt, pin giảm mạnh, chăm sóc khách hàng phản hồi chậm",Negative,,Negative,,,,,Negative,,,
Quá tệ. Trong vài tháng 2 lần mua ở cửa hàng thì đến h cả 2 cái đều bị mất mic. Chỉ nghe được. Lắp vietnammobie thì hay bị mất sóng. Nhắn tin cửa hàng còn không thèm trả lời. Chán cái cửa hàng này thực sự.,,,,,,,,Negative,,,
"Nhóm màu: Màu 
Phân loại sản phẩm: Đen đã nhận được hàng rồi nhìn khá ổn áp nhưng âm thanh chuông nghe không được tốt lắm khác cái 105 khác hy vọng bền",,,,,,,,,,Positive,
Hiệu năng giật lag khi đa nhiệm. Đóng gói sơ sài vỏ hộp rách. Chăm sóc khách hàng trả lời chậm không hỗ trợ.,,,Negative,,,Negative,,Negative,,,
"Đúng với mô tả: Như mô tả 
Chất lượng sản phẩm: Tốt
Tôi thích",,,,,,,,,,Positive,
"Cửa hàng phản hồi tin nhắn trong ngày làm việc, sản phẩm được đặt trong hộp carton tiêu chuẩn.",,,,,,Neutral,,Neutral,,,
Hàng đúng mô tả. Phải sử dụng một thời gian mới đánh giá được. Nhân viên giao hàng nhiệt tình,,,,,,,,,Positive,,
Tuyệt vời. Giá 7 đồng. Up từ x9a lên Quá mượt mà,,,Positive,,,,Positive,,,,
Màn hình đẹp,,,,Positive,,,,,,,
"Nhận được từ sáng, sử dụng đến tối vừa 1 ngày hiện tại ổn,sử dụng làm máy phụ ổn. Pin sử dụng tác vụ cơ bản 1 ngày thoải mái không biet lâu dài thì như nào. Cửa hàng nhắn tin hỗ trợ thắc mắc tốt. Sẽ quay lại đánh giá thêm sau 1 thời gian nữa :))",Positive,,,,,,,Positive,,,
Điện thoại đẹp màn to phù hợp với túi tiền,,,,Positive,,,Positive,,,,
"Lúc đầu khi mua online số tiền khá lớn cũng thấy e ngại,sợ bể vỡ khi vận chuyển,sợ không phải hàng chính hãng. Khi áp giá khuyến mãi thấy cũng rẻ hơn nhiều so với cửa hàng,mình mua Shoppe Mall nên cũng khá an tâm. Khi nhận được hàng thì thấy cửa hàng đóng gói cẩn thận,check IMEI thấy đúng là hàng chính hãng. Trải nghiệm sản phẩm sau 3 ngày thấy khá ok,đáp ứng tốt các nhu cầu cơ bản của mình Nên quay lại video khi khui hàng.. Còn bạn nào muốn an tâm hơn thì vào cửa hàng mua để test máy luôn cho nóng. Cửa hàng uy tín cho cửa hàng 5 sao.",,,,,,Positive,Positive,,,,
"Sản phẩm: Sản phẩm không như mô tả làm ăn vớ vẩn. Hàng giao không đúng mô tả. Có video mở hàng đầy đủ. Có liên hệ cửa hàng ngay sau khi mở gói hàng. Cửa hàng đồng ý cho trả hàng. Có quay video đóng gói hàng. Chờ lâu không thấy shiper lấy hàng. Đến khi có đơn hàng mới, yêu cầu shiper mang hàng về thì không mang",,,,,,,,Positive,Negative,Negative,
"Sang xịn mịn, hàng giao nhanh HCM đến Quảng Ninh chỉ 3 ngày, nguyên seal không dập móp",,,,,Positive,Positive,,,Positive,,
Điện thoại mới sử dụng được nhưng không đúng màu mà mình chọn mong cửa hàng sửa lỗi sai này còn mình vẫn cho cửa hàng 5 sao,,,,,,Negative,,,,Positive,
Hãy đểu để ram 8 bộ nhớ 258. Thực ra chỉ có ram 4 bộ nhớ 128. Bán hàng không trung thực,,,,,,,,,,Negative,
"Chất lượng sản phẩm: Chất lượng sản phẩm tốt thiết kế đẹp. Pin sử dụng 1 ngày rưỡi, toàn diện về phần cứng còn phần mền thì chưa hoàn hiện như sạc nhánh không sử dụng được, không sạc đến 80% tự ngắt,",Positive,,,,Positive,,,,,,
"Điện thoại mượt, camera sau nét, mỏng nhẹ bắt sóng tốt, thông báo nhanh",,Positive,Positive,,Positive,,,,,,
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb màn hình sống động, ⚡ 
Hiệu suất: Màn hình sống động, chất lượng máy ảnh ấn tượng,",,Positive,,Positive,,,,,,,
"Variation3: Đen xanh vàng 
Dung lượng lưu trữ: 32gb 
Phân loại sản phẩm: 50cai. Sản phẩm tốt",,,,,,,,,,Positive,
"Quá nhanh quá nguy hiểm, đặt buổi trưa mà buổi chiều đã giao tới nơi",,,,,,,,,Positive,,
Vỏ máy cũ nói chunh là không phải mới đâu góu hàng không kĩ lắm,,,,,Negative,Negative,,,,,
"Tính năng nổi bật: Ram 8 256 g 
Đúng với mô tả: Cũng được 
Chất lượng sản phẩm: Tạm không biết game thể nào chứ mình lướt shopee hơi chậm nha. Thoi thi tiền nào của đó không đòi hỏi nhiều. Là điện thoại mà đong gói hơi lỏng lẻo á cửa hàng nên cho thêm độ dày chống xốc",,,,,,Negative,,,,Negative,
Ok sẽ mua thêm cái nữa.,,,,,,,,,,Positive,
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Sản phẩm đúng với mô tả, cửa hàng đóng gói hàng kỹ càng, vận chuyển nhanh, hộp không bị móp gì, lần đầu mua đơn giá trị cao nên cũng hơi lo, nhưng sau khi nhận hàng thấy rất ưng ý. 5 Sao cho cửa hàng và sẽ ủng hộ cửa hàng trong thời gian tới ạ.",,,,,,Positive,Positive,,Positive,,
Variation3: Mỹ 2 sim 99% 128gb nắp lưng đằng sau có rất nhiều vết xước và nổ sơn lấm tấm. Màn hình trước có 1 vết xước.,,,,Negative,Negative,,,,,,
Đúng chất lượng sản pham,,,,,,,,,,Positive,
"Bảo hành rườm rà bảo hành dễ dàng nhưng không phải gửi đi gửi lại, tốn phí ship, chăm sóc khách hàng vô trách nhiệm",,,,,,,,Negative,Negative,,
"Đang dùng chính điện thoại mua của cửa hàng để đánh giá, sản phẩm tốt, điện thoại OK, cảm biến tốt",,,Positive,,,,,,,,
Mới sử dụng được hai ba tiếng gì đó đã bật không lên nguồn rồi,,,,,,,,,,Negative,
"Tính năng nổi bật: Phù hợp chơi game 
Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Tốt
Trong tầm giá này là quá tốt cho một con máy dung lượng cao",,,,,,,Positive,,,,
"Màu sắc: Đen 
Phân loại: Nguyên seal ngày mai cũng nhiều quảng cáo máy mới sếp làm ăn rất uy tín cục sạc cũng được cảm ơn cửa hàng",,,,,,,,,,Positive,
"Color family: Random color sản phẩm: Máy không quá mắc tiền nhưng chất lượng nhận được thì qua tuyệt, ngoại hình cũng đẹp, giao hàng lại nhiệt tình nên mình rất hài lòng.",,,,,Positive,,Positive,,Positive,,
"Mua 1 cái điện thoại được tặng kèm 1 cái đồng hồ với 1 cái tai nghe, tính ra thì quá rẻ",,,,,,,Positive,,,,
"Màn bị 3 đốm trắng nut home bị thụt vào,giá ổn nên cũng sử dụng được.",,,,Negative,,,Positive,,,,
"Tính năng nổi bật: Lock sim :)) 
Chất lượng sản phẩm: Ổn tầm 90% 
Đúng với mô tả: Đúng thề chứ đặt sốp con này t2 rồi trước là blackshark helo thấy ổn phết nay đặt tiếp cửa hàng làm thất vọng quá cửa hàng cho em con máy màn xước ác thật phần màn hình dưới loa xước thấy thương mà nghỉ lại thì máy cũ nên thôi vẫn 5☆ nha định vote 4☆ rồi đấy",,,,Negative,,,,,,Negative,
Điện thoại lỏng dán keo không kín,,,,,Negative,,,,,,
